       1.022903681553e-05       5.569116259841e+01 
       2.283711474866e-05       1.205865242960e+02 
       3.548767776321e-05       1.842609991535e+02 
       4.821333325757e-05       2.474234401483e+02 
       6.104720554869e-05       3.104696868025e+02 
       7.402321889633e-05       3.736917463502e+02 
       8.717638921403e-05       4.373361723488e+02 
       1.005431281964e-04       5.016278152699e+02 
       1.141615636215e-04       5.667818990957e+02 
       1.280718796190e-04       6.330111974346e+02 
       1.423166807063e-04       7.005309368999e+02 
       1.569413833601e-04       7.695625245650e+02 
       1.719946387601e-04       8.403366790915e+02 
       1.875287900730e-04       9.130962105318e+02 
       2.036003671483e-04       9.880986853301e+02 
       2.202706206850e-04       1.065619000149e+03 
       2.376060966663e-04       1.145951961680e+03 
       2.556792499766e-04       1.229414876016e+03 
       2.745690934126e-04       1.316350150033e+03 
       2.943618745098e-04       1.407127851469e+03 
       3.151517674426e-04       1.502148192558e+03 
       3.370415603868e-04       1.601843828357e+03 
       3.601433098341e-04       1.706681796747e+03 
       3.845789221665e-04       1.817164962387e+03 
       4.104806092340e-04       1.933832670356e+03 
       4.379911489553e-04       2.057260296232e+03 
       4.672638648600e-04       2.188057321006e+03 
       4.984622215757e-04       2.326863475500e+03 
       5.317589192508e-04       2.474342467436e+03 
       5.673343628404e-04       2.631172787896e+03 
       6.053743875014e-04       2.798035234188e+03 
       6.460671454381e-04       2.975596735671e+03 
       6.895991086297e-04       3.164490643993e+03 
       7.361502200209e-04       3.365293688006e+03 
       7.858883320869e-04       3.578500568206e+03 
       8.389631974438e-04       3.804497529349e+03 
       8.955004030075e-04       4.043536866812e+03 
       9.555957401212e-04       4.295714663367e+03 
       1.019310547718e-03       4.560954302970e+03 
       1.086668529267e-03       4.838997474837e+03 
       1.157654418355e-03       5.129404801387e+03 
       1.232214666714e-03       5.431565830596e+03 
       1.310260089206e-03       5.744718037751e+03 
       1.391670172022e-03       6.067944295381e+03 
       1.476298579822e-03       6.400272609546e+03 
       1.563979313816e-03       6.740668373156e+03 
       1.654532980792e-03       7.088052343585e+03 
       1.747772715325e-03       7.441341819491e+03 
       1.843509423611e-03       7.799475062218e+03 
       1.941556155572e-03       8.161430177950e+03 
       2.041731536686e-03       8.526240196047e+03 
       2.143862287829e-03       8.893002735992e+03 
       2.247784925508e-03       9.260885656349e+03 
       2.353346768960e-03       9.629130320957e+03 
       2.460406391135e-03       9.997049863819e+03 
       2.568833644991e-03       1.036402859939e+04 
       2.678509381697e-03       1.072951814198e+04 
       2.789324958251e-03       1.109303221254e+04 
       2.901181612430e-03       1.145414411360e+04 
       3.013989764800e-03       1.181247833371e+04 
       3.127668291853e-03       1.216770933905e+04 
       3.242143801552e-03       1.251955410627e+04 
       3.357349932413e-03       1.286776950066e+04 
       3.473226689595e-03       1.321214270304e+04 
       3.589719825756e-03       1.355249760837e+04 
       3.706780270353e-03       1.388867951895e+04 
       3.824363608235e-03       1.422056328769e+04 
       3.942429606450e-03       1.454803817412e+04 
       4.060941787022e-03       1.487101747376e+04 
       4.179867042697e-03       1.518942812995e+04 
       4.299175292350e-03       1.550321033621e+04 
       4.418839172587e-03       1.581232035485e+04 
       4.538833762160e-03       1.611672178703e+04 
       4.659136335919e-03       1.641638906667e+04 
       4.779726145264e-03       1.671129730825e+04 
       4.900584222267e-03       1.700146437145e+04 
       5.021693204916e-03       1.728688116335e+04 
       5.143037181133e-03       1.756754971591e+04 
       5.264601549492e-03       1.784347977648e+04 
       5.386372894762e-03       1.811468575437e+04 
       5.508338876615e-03       1.838118566438e+04 
       5.630488130016e-03       1.864300814762e+04 
       5.752810175986e-03       1.890017228186e+04 
       5.875295341566e-03       1.915271136959e+04 
       5.997934687978e-03       1.940065878371e+04 
       6.120719946049e-03       1.964403816831e+04 
       6.243643458106e-03       1.988289224601e+04 
       6.366698125645e-03       2.011725399092e+04 
       6.489877362120e-03       2.034715495402e+04 
       6.613175050326e-03       2.057264401006e+04 
       6.736585503869e-03       2.079375525007e+04 
       6.860103432291e-03       2.101052596523e+04 
       6.983723909471e-03       2.122299804667e+04 
       7.107442344961e-03       2.143121832106e+04 
       7.231254457944e-03       2.163521722223e+04 
       7.355156253566e-03       2.183505409833e+04 
       7.479144001383e-03       2.203076798537e+04 
       7.603214215718e-03       2.222239634342e+04 
       7.727363637752e-03       2.240998351129e+04 
       7.851589219152e-03       2.259357700785e+04 
       7.975888107119e-03       2.277322299175e+04 
       8.100257630690e-03       2.294894895445e+04 
       8.224695288202e-03       2.312082913534e+04 
       8.349198735787e-03       2.328888872536e+04 
       8.473765776815e-03       2.345316644496e+04 
       8.598394352197e-03       2.361369770490e+04 
       8.723082531468e-03       2.377054905799e+04 
       8.847828504571e-03       2.392374272546e+04 
       8.972630574303e-03       2.407332640041e+04 
       9.097487149341e-03       2.421934360835e+04 
       9.222396737809e-03       2.436182538740e+04 
       9.347357941335e-03       2.450082472149e+04 
       9.472369449571e-03       2.463636553985e+04 
       9.597430035107e-03       2.476850929369e+04 
       9.722538548784e-03       2.489726732945e+04 
       9.847693915334e-03       2.502270435224e+04 
       9.972895129360e-03       2.514484425414e+04 
       1.009814125159e-02       2.526373017171e+04 
       1.022343140543e-02       2.537940360215e+04 
       1.034876477371e-02       2.549189325714e+04 
       1.047414059574e-02       2.560124327384e+04 
       1.059955816452e-02       2.570748820315e+04 
       1.072501682413e-02       2.581067048260e+04 
       1.085051596739e-02       2.591082228974e+04 
       1.097605503359e-02       2.600797717979e+04 
       1.110163350642e-02       2.610217540731e+04 
       1.122725091205e-02       2.619344976166e+04 
