# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.719084002824e-10       9.715340441704e-15       2.317315593571e-13       0.000000000000e+00       7.972235525551e-11       9.397641130811e-12      -1.074286342160e-14 
   43       1.744626696581e-10       1.050366960666e-14       2.178246645188e-13       0.000000000000e+00       7.594151855627e-11       8.986742367317e-12      -9.487948090797e-15 
   44       1.770556564370e-10       1.133159562906e-14       2.021250010694e-13       0.000000000000e+00       7.240180426159e-11       8.599536754058e-12      -8.162456829994e-15 
   45       1.796844070836e-10       1.219978037617e-14       1.846778392850e-13       0.000000000000e+00       6.906900428441e-11       8.234952425760e-12      -7.145580743761e-15 
   46       1.823506457298e-10       1.310866143604e-14       1.655048967531e-13       0.000000000000e+00       6.593798904714e-11       7.892819638695e-12      -6.503433209968e-15 
   47       1.850554563738e-10       1.405855493990e-14       1.446282097769e-13       0.000000000000e+00       6.300520643480e-11       7.572462796389e-12      -6.207440861808e-15 
   48       1.877971139014e-10       1.504969220543e-14       1.220794200505e-13       0.000000000000e+00       6.025782154318e-11       7.272116645138e-12      -6.216694876010e-15 
   49       1.905708393873e-10       1.608221593731e-14       9.790014844245e-14       0.000000000000e+00       5.767302580165e-11       6.988846128844e-12      -6.477166892610e-15 
   50       1.933712102784e-10       1.715622868464e-14       7.212065175060e-14       0.000000000000e+00       5.522492747803e-11       6.719405939038e-12      -6.924715788481e-15 
   51       1.962007299051e-10       1.827196253436e-14       4.468809594934e-14       0.000000000000e+00       5.290903098953e-11       6.463280157732e-12      -7.496889231607e-15 
   52       1.990631610902e-10       1.942964891158e-14       1.551945963439e-14       0.000000000000e+00       5.072320800058e-11       6.220329155432e-12      -8.122970194564e-15 
   53       2.019609576469e-10       2.062946904002e-14      -1.547908340542e-14       0.000000000000e+00       4.866037060658e-11       5.989886936304e-12      -8.719874762299e-15 
