# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.693440962341e-10       8.930362713360e-15       2.182881479432e-13       0.000000000000e+00       8.180253569233e-11       8.892958784170e-12      -5.742926959939e-15 
   43       1.717666031539e-10       9.656157668305e-15       2.064935513985e-13       0.000000000000e+00       7.789532621874e-11       8.503784439446e-12      -6.012022279255e-15 
   44       1.742150632704e-10       1.041926993711e-14       1.934217141719e-13       0.000000000000e+00       7.423840592373e-11       8.139327519665e-12      -6.945737853356e-15 
   45       1.766941800672e-10       1.121894207397e-14       1.789459833273e-13       0.000000000000e+00       7.079623196556e-11       7.798048006525e-12      -8.205372880560e-15 
   46       1.792057259312e-10       1.205533981100e-14       1.629458926909e-13       0.000000000000e+00       6.756339934788e-11       7.479209815226e-12      -9.582798174754e-15 
   47       1.817484763664e-10       1.292884799500e-14       1.452911459746e-13       0.000000000000e+00       6.453615013827e-11       7.181491764981e-12      -1.088171344515e-14 
   48       1.843180210456e-10       1.383980244335e-14       1.258349454243e-13       0.000000000000e+00       6.170112334731e-11       6.902409197826e-12      -1.187149245782e-14 
   49       1.869064995965e-10       1.478848819481e-14       1.044130316238e-13       0.000000000000e+00       5.903464076700e-11       6.638230993621e-12      -1.228538745839e-14 
   50       1.895058182761e-10       1.577513976270e-14       8.088851565036e-14       0.000000000000e+00       5.650984007111e-11       6.385062761210e-12      -1.190578169678e-14 
   51       1.921189423043e-10       1.679994603329e-14       5.530294948848e-14       0.000000000000e+00       5.412201356371e-11       6.142635558266e-12      -1.085139354902e-14 
   52       1.947512119967e-10       1.786304367351e-14       2.776460221354e-14       0.000000000000e+00       5.186891287528e-11       5.911402131964e-12      -9.364926942217e-15 
   53       1.974070317506e-10       1.896451362922e-14      -1.592581981757e-15       0.000000000000e+00       4.974316613879e-11       5.691433186840e-12      -7.735083085490e-15 
   54       2.000897696374e-10       2.010437947026e-14      -3.260778904977e-14       0.000000000000e+00       4.773193311092e-11       5.482389278679e-12      -6.298861273868e-15 
   55       2.028017992900e-10       2.128261863823e-14      -6.513198483791e-14       0.000000000000e+00       4.582082397914e-11       5.283715660335e-12      -5.362675585695e-15 
   56       2.055448677730e-10       2.249920325304e-14      -9.915784493724e-14       0.000000000000e+00       4.400758588546e-11       5.095347890217e-12      -4.937486172316e-15 
   57       2.083196432283e-10       2.375406654486e-14      -1.347200095209e-13       0.000000000000e+00       4.229121234678e-11       4.917132282021e-12      -4.941898933308e-15 
   58       2.111254877886e-10       2.504708971244e-14      -1.718584166635e-13       0.000000000000e+00       4.066780258840e-11       4.748599313462e-12      -5.276741262019e-15 
   59       2.139603627142e-10       2.637810077094e-14      -2.106186599859e-13       0.000000000000e+00       3.913038278289e-11       4.588944206593e-12      -5.824199832358e-15 
   60       2.168207335296e-10       2.774687339965e-14      -2.510523463009e-13       0.000000000000e+00       3.766872728899e-11       4.437007508122e-12      -6.446958385591e-15 
   61       2.197030621359e-10       2.915309206510e-14      -2.932068644254e-13       0.000000000000e+00       3.627219870760e-11       4.291587992066e-12      -7.016459211883e-15 
   62       2.226088891291e-10       3.059624084883e-14      -3.370911989303e-13       0.000000000000e+00       3.493941739291e-11       4.152507373584e-12      -7.507051023249e-15 
   63       2.255407291175e-10       3.207568750761e-14      -3.827030426461e-13       0.000000000000e+00       3.367045502963e-11       4.019751208648e-12      -7.921539742185e-15 
   64       2.285005407830e-10       3.359071281793e-14      -4.300387296129e-13       0.000000000000e+00       3.246392600559e-11       3.893148960765e-12      -8.263990213360e-15 
   65       2.314896823712e-10       3.514050835369e-14      -4.790932567506e-13       0.000000000000e+00       3.131690443540e-11       3.772365125636e-12      -8.539788063220e-15 
