# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.160929042007e-10       5.338961549773e-15       3.289767245130e-13       0.000000000000e+00       7.186246267359e-09       4.383375556039e-10      -2.064234949108e-12 
    3       1.071966795453e-10       9.003371997398e-15       4.221132212589e-13       0.000000000000e+00       4.268882459270e-09       2.992895484336e-10      -1.813867339902e-12 
    4       9.934657207457e-11       1.042302233846e-14       4.406084258272e-13       0.000000000000e+00       2.862513163658e-09       2.196550413176e-10      -1.438904054194e-12 
    5       9.335800101719e-11       9.524378870780e-15       4.145254867175e-13       0.000000000000e+00       2.074798068348e-09       1.689892463540e-10      -1.057614438457e-12 
    6       8.898417562862e-11       7.241448520853e-15       3.658782834694e-13       0.000000000000e+00       1.580645735641e-09       1.341787720018e-10      -7.093543651602e-13 
    7       8.580258701316e-11       4.728087693132e-15       3.099335751771e-13       0.000000000000e+00       1.246441817853e-09       1.088749805889e-10      -4.152983425483e-13 
    8       8.350553375781e-11       2.779520697625e-15       2.553838158599e-13       0.000000000000e+00       1.008549964307e-09       8.980806890695e-11      -1.864823636428e-13 
    9       8.197400668172e-11       1.652214534762e-15       2.062553142101e-13       0.000000000000e+00       8.326398726126e-10       7.515980732114e-11      -2.573629741620e-14 
   10       8.094640479939e-11       1.184285521578e-15       1.649546130079e-13       0.000000000000e+00       6.985414427804e-10       6.376583314466e-11       7.163773214718e-14 
   11       8.010106556108e-11       1.052774257870e-15       1.335420301331e-13       0.000000000000e+00       5.898815588046e-10       5.560817265510e-11       1.156941643196e-13 
   12       7.927518084155e-11       9.945175107608e-16       1.128769031329e-13       0.000000000000e+00       5.070721360635e-10       4.825774376089e-11       1.203530862592e-13 
   13       7.850281253961e-11       8.966514140109e-16       1.020450772321e-13       0.000000000000e+00       4.399051811433e-10       4.238331925748e-11       9.924120790267e-14 
   14       7.787303856088e-11       7.688524208800e-16       9.885220066666e-14       0.000000000000e+00       3.846711607044e-10       3.735623931901e-11       6.413346637347e-14 
   15       7.748501511696e-11       6.658337234906e-16       1.006111117589e-13       0.000000000000e+00       3.387080162402e-10       3.322231290455e-11       2.566656629662e-14 
   16       7.735481372437e-11       6.240006809629e-16       1.046654858613e-13       0.000000000000e+00       3.000659899069e-10       2.975822495233e-11      -8.889897731298e-15 
   17       7.744216165728e-11       6.401757609860e-16       1.088668544059e-13       0.000000000000e+00       2.672820964855e-10       2.680048187715e-11      -3.503899409137e-14 
   18       7.773357019543e-11       6.829906888739e-16       1.118496643758e-13       0.000000000000e+00       2.391354096470e-10       2.421455742214e-11      -5.088251908991e-14 
   19       7.823585815841e-11       7.300292809184e-16       1.129842912789e-13       0.000000000000e+00       2.150833732549e-10       2.196482973414e-11      -5.661314027156e-14 
   20       7.890957730031e-11       7.636711902192e-16       1.118749899095e-13       0.000000000000e+00       1.941200791043e-10       1.999371713015e-11      -5.391634028100e-14 
