# Matter power spectrum P(k) at redshift z=0
# for k=9.85867e-06 to 1.02742 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.248047805510e-02       2.986688829231e+04 
       1.260204508281e-02       2.992686750138e+04 
       1.272364779901e-02       2.998419928829e+04 
       1.284528621901e-02       3.003890881352e+04 
       1.296696038228e-02       3.009102121875e+04 
       1.308867035196e-02       3.014058445443e+04 
       1.321041621440e-02       3.018761877633e+04 
       1.333219807876e-02       3.023216538684e+04 
       1.345401607661e-02       3.027424187682e+04 
       1.357587036159e-02       3.031388175162e+04 
       1.369776110912e-02       3.035110340412e+04 
       1.381968851611e-02       3.038595897985e+04 
       1.394165280069e-02       3.041846362196e+04 
       1.406365420203e-02       3.044865646661e+04 
       1.418569298013e-02       3.047656551206e+04 
       1.430776941566e-02       3.050221116018e+04 
       1.442988380981e-02       3.052563368169e+04 
       1.455203648421e-02       3.054686122834e+04 
       1.467422778078e-02       3.056591664212e+04 
       1.479645806175e-02       3.058282127123e+04 
       1.491872770952e-02       3.059760354927e+04 
       1.504103712671e-02       3.061031496325e+04 
       1.516338673613e-02       3.062098096196e+04 
       1.528577698078e-02       3.062960003621e+04 
       1.540820832392e-02       3.063623138511e+04 
       1.553068124912e-02       3.064086285905e+04 
       1.565319626030e-02       3.064355475239e+04 
       1.577575388188e-02       3.064431715597e+04 
       1.589835465885e-02       3.064318556499e+04 
       1.602099915690e-02       3.064019249248e+04 
       1.614368796261e-02       3.063534560784e+04 
       1.626642168355e-02       3.062867986149e+04 
       1.638920094850e-02       3.062022672943e+04 
       1.651202640765e-02       3.060997936471e+04 
       1.663489873279e-02       3.059802183731e+04 
       1.675781861756e-02       3.058433811412e+04 
       1.688078677770e-02       3.056896510106e+04 
       1.700380395129e-02       3.055190826976e+04 
       1.712687089903e-02       3.053321635403e+04 
       1.724998840458e-02       3.051290997499e+04 
       1.737315727482e-02       3.049100602009e+04 
       1.749637834018e-02       3.046752859888e+04 
       1.761965245504e-02       3.044249451530e+04 
       1.774298049803e-02       3.041595240010e+04 
       1.786636337243e-02       3.038790530800e+04 
       1.798980200658e-02       3.035836674736e+04 
       1.811329735426e-02       3.032738740978e+04 
       1.823685039514e-02       3.029499320391e+04 
       1.836046213522e-02       3.026116141586e+04 
       1.848413360731e-02       3.022593347211e+04 
       1.860786587148e-02       3.018939899098e+04 
       1.873166001558e-02       3.015147744977e+04 
       1.885551715575e-02       3.011222604891e+04 
       1.897943843696e-02       3.007168812398e+04 
       1.910342503358e-02       3.002989533003e+04 
       1.922747814993e-02       2.998684383361e+04 
       1.935159902089e-02       2.994252985209e+04 
       1.947578891250e-02       2.989702841545e+04 
       1.960004912264e-02       2.985030625695e+04 
       1.972438098162e-02       2.980244391288e+04 
       1.984878585292e-02       2.975342201081e+04 
       1.997326513386e-02       2.970331041426e+04 
       2.009782025634e-02       2.965201277247e+04 
       2.022245268757e-02       2.959967174539e+04 
       2.034716393087e-02       2.954627209189e+04 
       2.047195552643e-02       2.949182354709e+04 
       2.059682905217e-02       2.943626969573e+04 
       2.072178612457e-02       2.937975053918e+04 
       2.084682839954e-02       2.932224998695e+04 
       2.097195757334e-02       2.926375538263e+04 
       2.109717538349e-02       2.920439880255e+04 
       2.122248360977e-02       2.914401165156e+04 
       2.134788407516e-02       2.908275710184e+04 
       2.147337864691e-02       2.902057312668e+04 
       2.159896923756e-02       2.895751415328e+04 
       2.172465780605e-02       2.889360716729e+04 
       2.185044635884e-02       2.882885136974e+04 
       2.197633695106e-02       2.876323503986e+04 
       2.210233168772e-02       2.869687520393e+04 
       2.222843272491e-02       2.862966713236e+04 
       2.235464227111e-02       2.856169652227e+04 
       2.248096258851e-02       2.849301890999e+04 
       2.260739599430e-02       2.842351592199e+04 
       2.273394486215e-02       2.835341385910e+04 
       2.286061162359e-02       2.828251320086e+04 
       2.298739876953e-02       2.821094729332e+04 
       2.311430885181e-02       2.813866147156e+04 
       2.324134448475e-02       2.806578976002e+04 
       2.336850834682e-02       2.799225578042e+04 
       2.349580318233e-02       2.791808871991e+04 
       2.362323180318e-02       2.784332315515e+04 
       2.375079709064e-02       2.776789864417e+04 
       2.387850199727e-02       2.769190559367e+04 
       2.400634954880e-02       2.761541604175e+04 
       2.413434284618e-02       2.753836561706e+04 
       2.426248506756e-02       2.746074768423e+04 
       2.439077947053e-02       2.738257729764e+04 
       2.451922939423e-02       2.730397492562e+04 
       2.464783826170e-02       2.722482814586e+04 
       2.477660958219e-02       2.714523567638e+04 
       2.490554695364e-02       2.706519982730e+04 
       2.503465406521e-02       2.698458405223e+04 
       2.516393469985e-02       2.690367277993e+04 
       2.529339273708e-02       2.682229438536e+04 
       2.542303215573e-02       2.674050014312e+04 
       2.555285703690e-02       2.665827878088e+04 
       2.568287156695e-02       2.657565972974e+04 
       2.581308004062e-02       2.649264211419e+04 
       2.594348686428e-02       2.640935019513e+04 
       2.607409655929e-02       2.632576226680e+04 
       2.620491376546e-02       2.624177306834e+04 
       2.633594324468e-02       2.615737071784e+04 
       2.646718988466e-02       2.607278069323e+04 
       2.659865870284e-02       2.598780530293e+04 
       2.673035485040e-02       2.590253613560e+04 
       2.686228361647e-02       2.581713653724e+04 
       2.699445043251e-02       2.573123938818e+04 
       2.712686087679e-02       2.564515739781e+04 
       2.725952067915e-02       2.555892864007e+04 
       2.739243572585e-02       2.547232150155e+04 
       2.752561206470e-02       2.538556833626e+04 
       2.765905591033e-02       2.529861827546e+04 
       2.779277364970e-02       2.521138465164e+04 
       2.792677184788e-02       2.512415078249e+04 
       2.806105725395e-02       2.503642994725e+04 
       2.819563680731e-02       2.494867621678e+04 
       2.833051764411e-02       2.486087742635e+04 
       2.846570710402e-02       2.477271007017e+04 
       2.860121273731e-02       2.468447554525e+04 
       2.873704231217e-02       2.459607391449e+04 
       2.887320382241e-02       2.450760489994e+04 
       2.900970549546e-02       2.441892583584e+04 
       2.914655580074e-02       2.433016845130e+04 
       2.928376345842e-02       2.424129739415e+04 
       2.942133744852e-02       2.415242627284e+04 
       2.955928702050e-02       2.406331127853e+04 
       2.969762170322e-02       2.397418217952e+04 
       2.983635131541e-02       2.388496122627e+04 
       2.997548597661e-02       2.379561454512e+04 
       3.011503611862e-02       2.370628933246e+04 
       3.025501249753e-02       2.361685981602e+04 
       3.039542620626e-02       2.352735785506e+04 
       3.053628868780e-02       2.343784180405e+04 
       3.067761174901e-02       2.334820246909e+04 
       3.081940757519e-02       2.325861793325e+04 
       3.096168874529e-02       2.316902493370e+04 
       3.110446824796e-02       2.307935443899e+04 
       3.124775949841e-02       2.298964593968e+04 
       3.139157635607e-02       2.290000553236e+04 
       3.153593314327e-02       2.281027929005e+04 
       3.168084466483e-02       2.272065490953e+04 
       3.182632622873e-02       2.263093673795e+04 
       3.197239366788e-02       2.254120508148e+04 
       3.211906336306e-02       2.245145112342e+04 
       3.226635226715e-02       2.236181065580e+04 
       3.241427793067e-02       2.227221451604e+04 
       3.256285852878e-02       2.218258961742e+04 
       3.271211288978e-02       2.209295416193e+04 
       3.286206052532e-02       2.200337221629e+04 
       3.301272166228e-02       2.191383540844e+04 
       3.316411727653e-02       2.182433894895e+04 
       3.331626912879e-02       2.173482414006e+04 
       3.346919980249e-02       2.164539894228e+04 
       3.362293274409e-02       2.155606208386e+04 
       3.377749230578e-02       2.146668199867e+04 
       3.393290379086e-02       2.137741311963e+04 
       3.408919350201e-02       2.128808904295e+04 
       3.424638879260e-02       2.119893376273e+04 
       3.440451812137e-02       2.110966691364e+04 
       3.456361111061e-02       2.102056146339e+04 
       3.472369860829e-02       2.093160270046e+04 
       3.488481275430e-02       2.084248654669e+04 
       3.504698705118e-02       2.075362026736e+04 
       3.521025643983e-02       2.066470223366e+04 
       3.537465738036e-02       2.057577833432e+04 
       3.554022793881e-02       2.048692228228e+04 
       3.570700787998e-02       2.039820026008e+04 
       3.587503876712e-02       2.030952467219e+04 
       3.604436406889e-02       2.022078654621e+04 
       3.621502927438e-02       2.013218411976e+04 
       3.638708201687e-02       2.004358220371e+04 
       3.656057220713e-02       1.995503451481e+04 
       3.673555217713e-02       1.986651975306e+04 
       3.691207683515e-02       1.977805302619e+04 
       3.709020383351e-02       1.968957878516e+04 
       3.726999374988e-02       1.960114310719e+04 
       3.745151028380e-02       1.951279749891e+04 
       3.763482046975e-02       1.942441288164e+04 
       3.781999490856e-02       1.933596965762e+04 
       3.800710801898e-02       1.924764717942e+04 
       3.819623831168e-02       1.915931368563e+04 
       3.838746868786e-02       1.907090014297e+04 
       3.858088676543e-02       1.898256402475e+04 
       3.877658523556e-02       1.889414197960e+04 
       3.897466225323e-02       1.880579288011e+04 
       3.917522186561e-02       1.871731069950e+04 
       3.937837448261e-02       1.862882193475e+04 
       3.958423739481e-02       1.854030027897e+04 
       3.979293534438e-02       1.845164697485e+04 
       4.000460115563e-02       1.836294244282e+04 
       4.021937643261e-02       1.827417310521e+04 
       4.043741233250e-02       1.818527768599e+04 
       4.065887042464e-02       1.809630050454e+04 
       4.088392364675e-02       1.800723689139e+04 
       4.111275737146e-02       1.791795879831e+04 
       4.134557059873e-02       1.782859377466e+04 
       4.158257729191e-02       1.773894386517e+04 
       4.182400787845e-02       1.764921067991e+04 
       4.207011093971e-02       1.755918711600e+04 
       4.232115511859e-02       1.746901110469e+04 
       4.257743127894e-02       1.737855232367e+04 
       4.283925495669e-02       1.728770466043e+04 
       4.310696915033e-02       1.719660137482e+04 
       4.338094750729e-02       1.710515302071e+04 
       4.366159797383e-02       1.701337015664e+04 
       4.394936698969e-02       1.692108543149e+04 
       4.424474432505e-02       1.682842437566e+04 
       4.454826867834e-02       1.673527376243e+04 
       4.486053417805e-02       1.664153430946e+04 
       4.518219796410e-02       1.654724234067e+04 
       4.551398906279e-02       1.645225408494e+04 
       4.585671881955e-02       1.635667435234e+04 
       4.621129321513e-02       1.626013550611e+04 
       4.657872746998e-02       1.616269248189e+04 
       4.696016344075e-02       1.606456499626e+04 
       4.735689043945e-02       1.596524268014e+04 
       4.777037026721e-02       1.586477337689e+04 
       4.820226745996e-02       1.576301838318e+04 
       4.865448600505e-02       1.565977430231e+04 
       4.912921412024e-02       1.555493877226e+04 
       4.962897910450e-02       1.544810603615e+04 
       5.015671478924e-02       1.533922478970e+04 
       5.071584474696e-02       1.522792489262e+04 
       5.131038513951e-02       1.511385532971e+04 
       5.194507185394e-02       1.499653443111e+04 
       5.262551721937e-02       1.487526801724e+04 
       5.335840175930e-02       1.474935278227e+04 
       5.415170533415e-02       1.461785394410e+04 
       5.501497812327e-02       1.447943932689e+04 
       5.595964224956e-02       1.433240586600e+04 
       5.699929425565e-02       1.417449065188e+04 
       5.814993875982e-02       1.400262867583e+04 
       5.943001365628e-02       1.381258739162e+04 
       6.085996063206e-02       1.359892733225e+04 
       6.246097164622e-02       1.335450399435e+04 
       6.425249738735e-02       1.307069999750e+04 
       6.624835823720e-02       1.273804181502e+04 
       6.845211391969e-02       1.234810846703e+04 
       7.085358103738e-02       1.189635074286e+04 
       7.342892547049e-02       1.138516402878e+04 
       7.614521343369e-02       1.082563649100e+04 
       7.896736897278e-02       1.023641227872e+04 
       8.186410534852e-02       9.640641868390e+03 
       8.481085604701e-02       9.061838906242e+03 
       8.778998863834e-02       8.520469434353e+03 
       9.078959647074e-02       8.031758090054e+03 
       9.380195462152e-02       7.604802335725e+03 
       9.682217757092e-02       7.242580341198e+03 
       9.984722449727e-02       6.942728755470e+03 
       1.028752212725e-01       6.698610125010e+03 
       1.059050196931e-01       6.500431839381e+03 
       1.089359187718e-01       6.336483699431e+03 
       1.119674913876e-01       6.194270819918e+03 
       1.149994775267e-01       6.061678008773e+03 
       1.180317189247e-01       5.927991320113e+03 
       1.210641191974e-01       5.784846818768e+03 
       1.240966195713e-01       5.626823450029e+03 
       1.271291841301e-01       5.451742384854e+03 
       1.301617908511e-01       5.260519551079e+03 
       1.331944261618e-01       5.056674971660e+03 
       1.362270816343e-01       4.845563117298e+03 
       1.392597519781e-01       4.633495506518e+03 
       1.422924338203e-01       4.426870199237e+03 
       1.453251249646e-01       4.231449793446e+03 
       1.483578239402e-01       4.051800170995e+03 
       1.513905297272e-01       3.890980504034e+03 
       1.544232415887e-01       3.750408480619e+03 
       1.574559589687e-01       3.629931993784e+03 
       1.604886814286e-01       3.528000442681e+03 
       1.635214086084e-01       3.441966322948e+03 
       1.665541402025e-01       3.368402760378e+03 
       1.695868759443e-01       3.303494932106e+03 
       1.726196155965e-01       3.243576036783e+03 
       1.756523589446e-01       3.185494860348e+03 
       1.786851057926e-01       3.125558577066e+03 
       1.817178559601e-01       3.061450074708e+03 
       1.847506092799e-01       2.991813249244e+03 
       1.877833655967e-01       2.916377959092e+03 
       1.908161247656e-01       2.835821544862e+03 
       1.938488866513e-01       2.751611988033e+03 
       1.968816511268e-01       2.665667229517e+03 
       1.999144180733e-01       2.580068962614e+03 
       2.029471873790e-01       2.496760398330e+03 
       2.059799589389e-01       2.417415426011e+03 
       2.090127326541e-01       2.343296709414e+03 
       2.120455084315e-01       2.275265999446e+03 
       2.150782861832e-01       2.213761791278e+03 
       2.181110658263e-01       2.158799442087e+03 
       2.211438472824e-01       2.109992763364e+03 
       2.241766304775e-01       2.066584125323e+03 
       2.272094153414e-01       2.027526253903e+03 
       2.302422018077e-01       1.991591179521e+03 
       2.332749898136e-01       1.957529326152e+03 
       2.363077792995e-01       1.924176595899e+03 
       2.393405702086e-01       1.890585637038e+03 
       2.423733624873e-01       1.856080730897e+03 
       2.454061560844e-01       1.820251319116e+03 
       2.484389509514e-01       1.782981791068e+03 
       2.514717470420e-01       1.744374126958e+03 
       2.545045443124e-01       1.704750518041e+03 
       2.575373427204e-01       1.664584687997e+03 
       2.605701422262e-01       1.624478838299e+03 
       2.636029427917e-01       1.585076893919e+03 
       2.666357443805e-01       1.546996959644e+03 
       2.696685469579e-01       1.510754729253e+03 
       2.727013504907e-01       1.476702249687e+03 
       2.757341549472e-01       1.445006533325e+03 
       2.787669602971e-01       1.415657775655e+03 
       2.817997665115e-01       1.388505973631e+03 
       2.848325735625e-01       1.363294688622e+03 
       2.878653814236e-01       1.339708413283e+03 
       2.908981900693e-01       1.317395993696e+03 
       2.939309994752e-01       1.296000905636e+03 
       2.969638096179e-01       1.275170870606e+03 
       2.999966204749e-01       1.254582525630e+03 
       3.030294320246e-01       1.233971599296e+03 
       3.060622442465e-01       1.213159194346e+03 
       3.090950571206e-01       1.192067131209e+03 
       3.121278706277e-01       1.170709044116e+03 
       3.151606847496e-01       1.149194926100e+03 
       3.181934994685e-01       1.127665501185e+03 
       3.212263147676e-01       1.106313169047e+03 
       3.242591306303e-01       1.085304939062e+03 
       3.272919470411e-01       1.064804813882e+03 
       3.303247639846e-01       1.044946988465e+03 
       3.333575814464e-01       1.025846728413e+03 
       3.363903994123e-01       1.007579474362e+03 
       3.394232178688e-01       9.901895096852e+02 
       3.424560368028e-01       9.736688574056e+02 
       3.454888562015e-01       9.579546390284e+02 
       3.485216760530e-01       9.429525979367e+02 
       3.515544963453e-01       9.285316792480e+02 
       3.545873170672e-01       9.145594270125e+02 
       3.576201382076e-01       9.009146501199e+02 
       3.606529597559e-01       8.875014397609e+02 
       3.636857817020e-01       8.742481478768e+02 
       3.667186040358e-01       8.611075354536e+02 
       3.697514267479e-01       8.480498268265e+02 
       3.727842498289e-01       8.350598744986e+02 
       3.758170732699e-01       8.221407025877e+02 
       3.788498970622e-01       8.093133238553e+02 
       3.818827211973e-01       7.966162403961e+02 
       3.849155456673e-01       7.841023387120e+02 
       3.879483704641e-01       7.718277266445e+02 
       3.909811955801e-01       7.598406027715e+02 
       3.940140210080e-01       7.481766215614e+02 
       3.970468467406e-01       7.368525025105e+02 
       4.000796727708e-01       7.258700426937e+02 
       4.031124990921e-01       7.152229713192e+02 
       4.061453256977e-01       7.049005123114e+02 
       4.091781525815e-01       6.948887786386e+02 
       4.122109797371e-01       6.851713490133e+02 
       4.152438071587e-01       6.757231804090e+02 
       4.182766348404e-01       6.665137037113e+02 
       4.213094627766e-01       6.575039970489e+02 
       4.243422909618e-01       6.486564159317e+02 
       4.273751193908e-01       6.399385052592e+02 
       4.304079480582e-01       6.313289030118e+02 
       4.334407769592e-01       6.228192603989e+02 
       4.364736060887e-01       6.144086162251e+02 
       4.395064354422e-01       6.061009409416e+02 
       4.425392650149e-01       5.979018059128e+02 
       4.455720948023e-01       5.898168970124e+02 
       4.486049248002e-01       5.818516991785e+02 
       4.516377550042e-01       5.740167836969e+02 
       4.546705854101e-01       5.663254528908e+02 
       4.577034160141e-01       5.587935315545e+02 
       4.607362468121e-01       5.514352407488e+02 
       4.637690778003e-01       5.442573180452e+02 
       4.668019089750e-01       5.372583253039e+02 
       4.698347403326e-01       5.304315046593e+02 
       4.728675718696e-01       5.237611419488e+02 
       4.759004035824e-01       5.172324554314e+02 
       4.789332354679e-01       5.108325736984e+02 
       4.819660675226e-01       5.045533428164e+02 
       4.849988997435e-01       4.983857262289e+02 
       4.880317321273e-01       4.923212728372e+02 
       4.910645646711e-01       4.863520639253e+02 
       4.940973973719e-01       4.804680995778e+02 
       4.971302302269e-01       4.746587918364e+02 
       5.001630632332e-01       4.689280919291e+02 
       5.031958963881e-01       4.632702025600e+02 
       5.062287296888e-01       4.576932726044e+02 
       5.092615631329e-01       4.522045695582e+02 
       5.122943967177e-01       4.468085779975e+02 
       5.153272304407e-01       4.415079061790e+02 
       5.183600642995e-01       4.363011497390e+02 
       5.213928982918e-01       4.311853834006e+02 
       5.244257324152e-01       4.261585087610e+02 
       5.274585666674e-01       4.212202199005e+02 
       5.304914010462e-01       4.163732699213e+02 
       5.335242355495e-01       4.116168295344e+02 
       5.365570701752e-01       4.069497522441e+02 
       5.395899049211e-01       4.023674621076e+02 
       5.426227397853e-01       3.978639017806e+02 
       5.456555747657e-01       3.934321087120e+02 
       5.486884098605e-01       3.890668215390e+02 
       5.517212450677e-01       3.847657847817e+02 
       5.547540803856e-01       3.805281193402e+02 
       5.577869158122e-01       3.763545465003e+02 
       5.608197513459e-01       3.722441392351e+02 
       5.638525869848e-01       3.681947361907e+02 
       5.668854227273e-01       3.642030098221e+02 
       5.699182585718e-01       3.602661285976e+02 
       5.729510945166e-01       3.563827219380e+02 
       5.759839305601e-01       3.525540511107e+02 
       5.790167667008e-01       3.487824322694e+02 
       5.820496029372e-01       3.450712973171e+02 
       5.850824392677e-01       3.414205221437e+02 
       5.881152756909e-01       3.378298629942e+02 
       5.911481122053e-01       3.342961082144e+02 
       5.941809488096e-01       3.308157611147e+02 
       5.972137855025e-01       3.273871676172e+02 
       6.002466222824e-01       3.240095670735e+02 
       6.032794591482e-01       3.206831712763e+02 
       6.063122960986e-01       3.174086348151e+02 
       6.093451331322e-01       3.141847599751e+02 
       6.123779702478e-01       3.110085364991e+02 
       6.154108074443e-01       3.078783626496e+02 
       6.184436447203e-01       3.047892667501e+02 
       6.214764820749e-01       3.017403809290e+02 
       6.245093195067e-01       2.987313373745e+02 
       6.275421570148e-01       2.957637723362e+02 
       6.305749945979e-01       2.928385864412e+02 
       6.336078322550e-01       2.899555854415e+02 
       6.366406699851e-01       2.871137478407e+02 
       6.396735077871e-01       2.843107716768e+02 
       6.427063456599e-01       2.815439396080e+02 
       6.457391836027e-01       2.788142312256e+02 
       6.487720216143e-01       2.761208639729e+02 
       6.518048596939e-01       2.734652935092e+02 
       6.548376978405e-01       2.708482588296e+02 
       6.578705360531e-01       2.682699009132e+02 
       6.609033743309e-01       2.657281388739e+02 
       6.639362126730e-01       2.632211913700e+02 
       6.669690510784e-01       2.607467476380e+02 
       6.700018895463e-01       2.583036635399e+02 
       6.730347280759e-01       2.558923750403e+02 
       6.760675666664e-01       2.535132447544e+02 
       6.791004053168e-01       2.511669675611e+02 
       6.821332440265e-01       2.488529320480e+02 
       6.851660827946e-01       2.465697538240e+02 
       6.881989216204e-01       2.443154221709e+02 
       6.912317605030e-01       2.420884844449e+02 
       6.942645994418e-01       2.398881988444e+02 
       6.972974384360e-01       2.377153851036e+02 
       7.003302774849e-01       2.355705648247e+02 
       7.033631165878e-01       2.334545438582e+02 
       7.063959557440e-01       2.313667686012e+02 
       7.094287949527e-01       2.293073898168e+02 
       7.124616342134e-01       2.272726770802e+02 
       7.787107151112e-01       1.885406108887e+02 
       8.746979553571e-01       1.472760452403e+02 
       1.027417725373e+00       1.041185670408e+02 
