# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.157869313738e-10       5.322937184816e-15       3.295685491778e-13       1.310046853981e-19       7.174028912986e-09       4.357857147586e-10      -2.062892165274e-12 
    3       1.069669721347e-10       8.979286634640e-15       4.228499980061e-13       2.620493955857e-19       4.252733909439e-09       2.973441855902e-10      -1.813102624712e-12 
    4       9.917839876722e-11       1.039853186383e-14       4.414815685202e-13       4.368369367369e-19       2.852964297684e-09       2.180987247696e-10      -1.438752558348e-12 
    5       9.324431439974e-11       9.505226949608e-15       4.154252784619e-13       6.554179170168e-19       2.068730296829e-09       1.677481588861e-10      -1.057933322098e-12 
    6       8.891330030757e-11       7.229585584456e-15       3.666740232034e-13       9.178532792315e-19       1.575736470176e-09       1.331529790518e-10      -7.099853708580e-13 
    7       8.573792750428e-11       4.722160112592e-15       3.105819884038e-13       1.224212846131e-18       1.242102535333e-09       1.079570941126e-10      -4.161292479408e-13 
    8       8.345236773292e-11       2.776671769674e-15       2.558271994190e-13       1.574573662068e-18       1.004645139629e-09       8.897261691621e-11      -1.874437124581e-13 
    9       8.195312890503e-11       1.649851350595e-15       2.064596319260e-13       1.969018174958e-18       8.290998245050e-10       7.445358021519e-11      -2.677269056335e-14 
   10       8.092312529113e-11       1.181084147024e-15       1.650110986936e-13       2.407632306888e-18       6.953117915394e-10       6.320177818928e-11       7.058793565136e-14 
   11       8.009095689691e-11       1.048843612111e-15       1.335104179455e-13       2.890503464831e-18       5.869191113552e-10       5.516846663304e-11       1.148083740236e-13 
   12       7.925312626802e-11       9.909026717352e-16       1.127751605373e-13       3.417718544788e-18       5.043575137688e-10       4.779144562404e-11       1.194554254563e-13 
