# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.680246585479e-10       9.118322100168e-15       2.258351008854e-13       8.356820608656e-17       8.203386510495e-11       9.072530868142e-12      -5.461725341633e-15 
   43       1.704777464936e-10       9.857394620347e-15       2.139146090877e-13       8.759878192803e-17       7.812823371671e-11       8.681190080112e-12      -5.812708990759e-15 
   44       1.729591497114e-10       1.063437752243e-14       2.006531542164e-13       9.172738925501e-17       7.447261578805e-11       8.314484726499e-12      -6.822168230398e-15 
   45       1.754621810680e-10       1.144854345001e-14       1.858982501915e-13       9.595421460322e-17       7.103146593224e-11       7.971463476685e-12      -8.128475835714e-15 
   46       1.779893372687e-10       1.230009665080e-14       1.695402975389e-13       1.002792839889e-16       6.779939530465e-11       7.651499509601e-12      -9.522534210553e-15 
   47       1.805441546717e-10       1.318946615763e-14       1.514734595666e-13       1.047025478639e-16       6.477266925799e-11       7.353232744659e-12      -1.081423349961e-14 
   48       1.831279912415e-10       1.411703674886e-14       1.315803935333e-13       1.092239118013e-16       6.193795286097e-11       7.074116117609e-12      -1.178074130844e-14 
   49       1.857398189213e-10       1.508314744065e-14       1.097315598694e-13       1.138432340175e-16       5.927159677802e-11       6.810330994991e-12      -1.216480062822e-14 
   50       1.883776127838e-10       1.608807937289e-14       8.581964991355e-14       1.185603188227e-16       5.674676637171e-11       6.557876382066e-12      -1.175809256165e-14 
   51       1.910434447098e-10       1.713201908845e-14       5.987548860936e-14       1.233749006302e-16       5.435876708196e-11       6.316381331661e-12      -1.068194938727e-14 
   52       1.937394134338e-10       1.821508268030e-14       3.198239823058e-14       1.282866513221e-16       5.210535893405e-11       6.086181159292e-12      -9.179895741870e-15 
   53       1.964660392652e-10       1.933732356746e-14       2.244768570694e-15       1.332951813343e-16       4.997917729150e-11       5.867205443068e-12      -7.541489825344e-15 
   54       1.992221316035e-10       2.049873048811e-14      -2.921098120068e-14       1.384000369856e-16       4.796738782865e-11       5.658948675469e-12      -6.104624374872e-15 
   55       2.020058952382e-10       2.169924936104e-14      -6.226618141774e-14       1.436007509863e-16       4.605560612794e-11       5.460710382290e-12      -5.176217479578e-15 
   56       2.048188745927e-10       2.293885982710e-14      -9.691011503113e-14       1.488970147707e-16       4.424158714486e-11       5.272452566330e-12      -4.765941938547e-15 
   57       2.076627572573e-10       2.421751420712e-14      -1.331630223324e-13       1.542885442986e-16       4.252433215724e-11       5.094103865418e-12      -4.790378896126e-15 
   58       2.105381386633e-10       2.553511424613e-14      -1.710477718577e-13       1.597750300433e-16       4.089994711410e-11       4.925290308436e-12      -5.147973055679e-15 
   59       2.134444378621e-10       2.689151003639e-14      -2.105900962219e-13       1.653561363936e-16       3.936146376231e-11       4.765316465825e-12      -5.718154037231e-15 
   60       2.163798133045e-10       2.828649894051e-14      -2.518188279534e-13       1.710315010550e-16       3.789866077338e-11       4.613146600091e-12      -6.360457735104e-15 
   61       2.193422302676e-10       2.971978849232e-14      -2.947608690992e-13       1.768008119187e-16       3.650090484024e-11       4.467686119205e-12      -6.943560609719e-15 
   62       2.223331336501e-10       3.119087780481e-14      -3.394242470643e-13       1.826640591809e-16       3.516682383747e-11       4.328742403778e-12      -7.441985863230e-15 
   63       2.253544538757e-10       3.269914751077e-14      -3.858116566572e-13       1.886213390103e-16       3.389649737322e-11       4.196247180598e-12      -7.859643623493e-15 
   64       2.284074812564e-10       3.424389126017e-14      -4.339254580888e-13       1.946727828982e-16       3.268854700703e-11       4.069966114190e-12      -8.201902530466e-15 
   65       2.314928183125e-10       3.582431350028e-14      -4.837677457135e-13       2.008185595182e-16       3.154005319790e-11       3.949489485708e-12      -8.475660208632e-15 
   66       2.346103320929e-10       3.743952725581e-14      -5.353404167703e-13       2.070588765864e-16       3.044647225243e-11       3.834222871821e-12      -8.689413739419e-15 
