# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.160930306279e-10       5.339095061682e-15       3.289767225882e-13       1.335118562197e-19       7.186246267359e-09       4.383375556039e-10      -2.064234949108e-12 
    3       1.071969320575e-10       9.003639062405e-15       4.221132127087e-13       2.670644927660e-19       4.268882459270e-09       2.992895484336e-10      -1.813867339902e-12 
    4       9.934699217763e-11       1.042346753806e-14       4.406084013655e-13       4.451970807608e-19       2.862513163658e-09       2.196550413176e-10      -1.438904054194e-12 
    5       9.335862978774e-11       9.525046840586e-15       4.145254312934e-13       6.679611527776e-19       2.074798068348e-09       1.689892463540e-10      -1.057614438457e-12 
    6       8.898505362924e-11       7.242383963188e-15       3.658781751983e-13       9.354187386013e-19       1.580645735641e-09       1.341787720018e-10      -7.093543651602e-13 
    7       8.580375422095e-11       4.729335388895e-15       3.099333844977e-13       1.247640869037e-18       1.246441817853e-09       1.088749805889e-10      -4.152983425483e-13 
    8       8.350702950782e-11       2.781125516975e-15       2.553835049455e-13       1.604705871739e-18       1.008549964307e-09       8.980806890695e-11      -1.864823636428e-13 
    9       8.197586962589e-11       1.654221446250e-15       2.062548366502e-13       2.006697504912e-18       8.326398726126e-10       7.515980732114e-11      -2.573629741620e-14 
   10       8.094867288120e-11       1.186739599240e-15       1.649539137708e-13       2.453702979179e-18       6.985414427804e-10       6.376583314466e-11       7.163773214718e-14 
   11       8.010377600496e-11       1.055720685794e-15       1.335410458061e-13       2.945810921142e-18       5.898815588046e-10       5.560817265510e-11       1.156941643196e-13 
   12       7.927837015614e-11       9.980015845781e-16       1.128755624308e-13       3.483109333845e-18       5.070721360635e-10       4.825774376089e-11       1.203530862592e-13 
   13       7.850651653273e-11       9.007185388312e-16       1.020433017549e-13       4.065683609687e-18       4.399051811433e-10       4.238331925748e-11       9.924120790267e-14 
   14       7.787729236393e-11       7.735481052153e-16       9.884990587846e-14       4.693614650089e-18       3.846711607044e-10       3.735623931901e-11       6.413346637347e-14 
   15       7.748985321597e-11       6.712035688175e-16       1.006082081568e-13       5.366977143539e-18       3.387080162402e-10       3.322231290455e-11       2.566656629662e-14 
   16       7.736026999465e-11       6.300903666990e-16       1.046618802943e-13       6.085838049533e-18       3.000659899069e-10       2.975822495233e-11      -8.889897731298e-15 
   17       7.744826939839e-11       6.470310248218e-16       1.088624515049e-13       6.850255330458e-18       2.672820964855e-10       2.680048187715e-11      -3.503899409137e-14 
   18       7.774036216490e-11       6.906573027207e-16       1.118443680697e-13       7.660276862947e-18       2.391354096470e-10       2.421455742214e-11      -5.088251908991e-14 
   19       7.824336659143e-11       7.385530220452e-16       1.129780062413e-13       8.515940283623e-18       2.150833732549e-10       2.196482973414e-11      -5.661314027156e-14 
   20       7.891783393817e-11       7.730978099838e-16       1.118676232035e-13       9.417271477057e-18       1.941200791043e-10       1.999371713015e-11      -5.391634028100e-14 
   21       7.976616142864e-11       8.036089463124e-16       1.087272029163e-13       1.036428626009e-17       1.758589996892e-10       1.826317647614e-11      -4.513059338613e-14 
   22       8.077605747710e-11       8.499835388383e-16       1.040772384326e-13       1.135698873128e-17       1.598081902287e-10       1.671408076449e-11      -3.339949669918e-14 
   23       8.194046229415e-11       9.240544518632e-16       9.839493737127e-14       1.239537419802e-17       1.457077858347e-10       1.532805521794e-11      -2.116855071958e-14 
   24       8.323750278682e-11       1.033447516873e-15       9.218634078558e-14       1.347942750601e-17       1.331932623751e-10       1.408527530202e-11      -1.078386311592e-14 
   25       8.467243521476e-11       1.174249107371e-15       8.579811805927e-14       1.460912760017e-17       1.220897652959e-10       1.298468408072e-11      -3.391602145406e-15 
   26       8.624448922904e-11       1.337986903394e-15       7.948095403101e-14       1.578444528580e-17       1.121691885097e-10       1.201732929543e-11       4.069531961910e-16 
   27       8.794318942493e-11       1.520584122700e-15       7.317921546513e-14       1.700534800721e-17       1.032918247265e-10       1.115919594433e-11       8.782788186744e-16 
   28       8.974836215657e-11       1.719068491283e-15       6.668290640436e-14       1.827179867384e-17       9.528391205358e-11       1.037671650741e-11      -1.253369478219e-15 
   29       9.166466357787e-11       1.932504649380e-15       5.972740511055e-14       1.958376441103e-17       8.809133214198e-11       9.665875472515e-12      -5.170843117055e-15 
   30       9.369585755098e-11       2.160386946675e-15       5.195486771664e-14       2.094121047786e-17       8.162343789059e-11       9.025868535171e-12      -9.792188648009e-15 
   31       9.583746345398e-11       2.401782723021e-15       4.295655377489e-14       2.234410145170e-17       7.573196102883e-11       8.449541209842e-12      -1.391221896269e-14 
   32       9.809018673200e-11       2.654686978086e-15       3.248907428754e-14       2.379241412240e-17       7.037742894279e-11       7.929267489891e-12      -1.698323554485e-14 
   33       1.004495516130e-10       2.916367844434e-15       2.033222948365e-14       2.528613023321e-17       6.551380604634e-11       7.451999007633e-12      -1.861384211952e-14 
   34       1.029060922650e-10       3.184632295316e-15       6.293576356512e-15       2.682523657712e-17       6.106323121231e-11       7.002316322722e-12      -1.849990501103e-14 
   35       1.054617786164e-10       3.461775507683e-15      -9.572855672395e-15       2.840973492318e-17       5.699670706021e-11       6.580767400795e-12      -1.689253556796e-14 
   36       1.081181460593e-10       3.752090995317e-15      -2.710517862866e-14       3.003963686456e-17       5.327536266615e-11       6.191418899843e-12      -1.430705036508e-14 
   37       1.108730065566e-10       4.059828315762e-15      -4.611154287656e-14       3.171496346038e-17       4.984349472811e-11       5.836449561042e-12      -1.132571542861e-14 
   38       1.137259955221e-10       4.385500052360e-15      -6.645236144381e-14       3.343575012330e-17       4.668824058833e-11       5.514775360736e-12      -8.305705724838e-15 
