# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.694995667151e-10       8.975437583257e-15       2.177567296206e-13       0.000000000000e+00       8.075266320982e-11       8.905069711416e-12      -5.535670056485e-15 
   43       1.719570636015e-10       9.704654022131e-15       2.059248243258e-13       0.000000000000e+00       7.688656642253e-11       8.516415337868e-12      -5.899027663626e-15 
   44       1.744372713552e-10       1.047127156091e-14       1.927705969427e-13       0.000000000000e+00       7.326862554027e-11       8.152427884556e-12      -6.909237675748e-15 
   45       1.769342135789e-10       1.127455854602e-14       1.781414246647e-13       0.000000000000e+00       6.986355531899e-11       7.812252987338e-12      -8.200693133583e-15 
   46       1.794504577237e-10       1.211470667639e-14       1.619288543261e-13       0.000000000000e+00       6.666596090418e-11       7.495183225711e-12      -9.566950540683e-15 
   47       1.819894468345e-10       1.299213021960e-14       1.440287635984e-13       0.000000000000e+00       6.367209298048e-11       7.199716656424e-12      -1.082314223635e-14 
   48       1.845524625438e-10       1.390719927374e-14       1.243258337362e-13       0.000000000000e+00       6.086869550281e-11       6.923146760378e-12      -1.175276882721e-14 
   49       1.871384182707e-10       1.486023827958e-14       1.026928793793e-13       0.000000000000e+00       5.823229889402e-11       6.661477142081e-12      -1.210605721025e-14 
   50       1.897452898227e-10       1.585151096823e-14       7.902454603921e-14       0.000000000000e+00       5.573628241467e-11       6.410562484544e-12      -1.168152750643e-14 
   51       1.923753447682e-10       1.688117383935e-14       5.335074061262e-14       0.000000000000e+00       5.337596101207e-11       6.170094416794e-12      -1.060060466699e-14 
   52       1.950309750511e-10       1.794930748327e-14       2.575283182091e-14       0.000000000000e+00       5.114908626165e-11       5.940550117817e-12      -9.104708825576e-15 
   53       1.977130569820e-10       1.905592696597e-14      -3.667101818784e-15       0.000000000000e+00       4.904833925397e-11       5.722033681845e-12      -7.480781051193e-15 
   54       2.004208214921e-10       2.020097970289e-14      -3.478532488842e-14       0.000000000000e+00       4.706098940048e-11       5.514248523939e-12      -6.063557084690e-15 
   55       2.031528856225e-10       2.138437669755e-14      -6.748555468378e-14       0.000000000000e+00       4.517277396969e-11       5.316687727988e-12      -5.156690174850e-15 
   56       2.059109442968e-10       2.260610021608e-14      -1.017569280422e-13       0.000000000000e+00       4.338144693288e-11       5.129323680907e-12      -4.767964579201e-15 
   57       2.086967684034e-10       2.386611913712e-14      -1.376187126489e-13       0.000000000000e+00       4.168599831401e-11       4.952041424607e-12      -4.812286040308e-15 
   58       2.115110412484e-10       2.516435712233e-14      -1.750926016438e-13       0.000000000000e+00       4.008255544917e-11       4.784417036245e-12      -5.186200901669e-15 
   59       2.143532740523e-10       2.650069179002e-14      -2.142029375575e-13       0.000000000000e+00       3.856420623632e-11       4.625698525077e-12      -5.767008120775e-15 
   60       2.172217214468e-10       2.787495388896e-14      -2.549769362468e-13       0.000000000000e+00       3.712082238514e-11       4.474786729321e-12      -6.411871282160e-15 
