# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 1.07932 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.362865640141e-02       1.369408798507e+04 
       1.375860167099e-02       1.363028089676e+04 
       1.388858336121e-02       1.356540828937e+04 
       1.401860159688e-02       1.349949485160e+04 
       1.414865652573e-02       1.343258474218e+04 
       1.427874831808e-02       1.336469364816e+04 
       1.440887716652e-02       1.329586906609e+04 
       1.453904328559e-02       1.322619048289e+04 
       1.466924691159e-02       1.315561411702e+04 
       1.479948830228e-02       1.308420592856e+04 
       1.492976773673e-02       1.301199250911e+04 
       1.506008551513e-02       1.293901493687e+04 
       1.519044195868e-02       1.286529737084e+04 
       1.532083740943e-02       1.279089715420e+04 
       1.545127223022e-02       1.271582243051e+04 
       1.558174680461e-02       1.264007545212e+04 
       1.571226153681e-02       1.256372303975e+04 
       1.584281685170e-02       1.248677380182e+04 
       1.597341319479e-02       1.240926675129e+04 
       1.610405103226e-02       1.233122578999e+04 
       1.623473085099e-02       1.225266692657e+04 
       1.636545315865e-02       1.217363065512e+04 
       1.649621848373e-02       1.209410971650e+04 
       1.662702737567e-02       1.201419234202e+04 
       1.675788040498e-02       1.193383036015e+04 
       1.688877816336e-02       1.185310840992e+04 
       1.701972126387e-02       1.177199548953e+04 
       1.715071034106e-02       1.169055717491e+04 
       1.728174605121e-02       1.160879324291e+04 
       1.741282907251e-02       1.152674565669e+04 
       1.754396010529e-02       1.144442544604e+04 
       1.767513987222e-02       1.136184968641e+04 
       1.780636911863e-02       1.127902965569e+04 
       1.793764861274e-02       1.119600097857e+04 
       1.806897914596e-02       1.111279004619e+04 
       1.820036153318e-02       1.102941045613e+04 
       1.833179661312e-02       1.094586493764e+04 
       1.846328524865e-02       1.086219382940e+04 
       1.859482832715e-02       1.077841672653e+04 
       1.872642676089e-02       1.069453190376e+04 
       1.885808148739e-02       1.061056977911e+04 
       1.898979346988e-02       1.052655300460e+04 
       1.912156369767e-02       1.044248852462e+04 
       1.925339318662e-02       1.035839763963e+04 
       1.938528297958e-02       1.027429144850e+04 
       1.951723414690e-02       1.019019260271e+04 
       1.964924778691e-02       1.010612295963e+04 
       1.978132502638e-02       1.002208771185e+04 
       1.991346702117e-02       9.938097429191e+03 
       2.004567495665e-02       9.854185680405e+03 
       2.017795004836e-02       9.770340806631e+03 
       2.031029354258e-02       9.686598417845e+03 
       2.044270671692e-02       9.602972038109e+03 
       2.057519088097e-02       9.519450034478e+03 
       2.070774737695e-02       9.436080269554e+03 
       2.084037758038e-02       9.352841111562e+03 
       2.097308290079e-02       9.269774570299e+03 
       2.110586478242e-02       9.186866008441e+03 
       2.123872470496e-02       9.104155491000e+03 
       2.137166418434e-02       9.021641439590e+03 
       2.150468477352e-02       8.939335859254e+03 
       2.163778806327e-02       8.857243104260e+03 
       2.177097568305e-02       8.775378497297e+03 
       2.190424930187e-02       8.693759138096e+03 
       2.203761062915e-02       8.612391767516e+03 
       2.217106141571e-02       8.531272236630e+03 
       2.230460345465e-02       8.450426914599e+03 
       2.243823858241e-02       8.369862144575e+03 
       2.257196867970e-02       8.289588571941e+03 
       2.270579567260e-02       8.209601877674e+03 
       2.283972153363e-02       8.129936602850e+03 
       2.297374828284e-02       8.050565971830e+03 
       2.310787798898e-02       7.971540392119e+03 
       2.324211277066e-02       7.892827935082e+03 
       2.337645479759e-02       7.814456834478e+03 
       2.351090629182e-02       7.736423170005e+03 
       2.364546952903e-02       7.658751141241e+03 
       2.378014683990e-02       7.581428161957e+03 
