# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.554509052614e-10       7.260728349287e-15       5.042512590518e-13       0.000000000000e+00       8.719614461324e-09       4.802398155446e-10      -2.502196498162e-12 
    3       1.467557828717e-10       1.228581707071e-14       6.326054668079e-13       0.000000000000e+00       5.421497240245e-09       3.441952918283e-10      -2.201333186611e-12 
    4       1.379594774943e-10       1.434200776176e-14       6.543752020828e-13       0.000000000000e+00       3.782872461118e-09       2.624262493876e-10      -1.755622393103e-12 
    5       1.308581356307e-10       1.326334173333e-14       6.131930442431e-13       0.000000000000e+00       2.828838420889e-09       2.084585425112e-10      -1.303056490168e-12 
    6       1.255103659232e-10       1.023479617805e-14       5.399949170121e-13       0.000000000000e+00       2.212617916989e-09       1.703922065236e-10      -8.903314933387e-13 
    7       1.216311609573e-10       6.784724511221e-15       4.558937659714e-13       0.000000000000e+00       1.786022960751e-09       1.422459688179e-10      -5.415129869154e-13 
    8       1.189183766955e-10       4.011081392179e-15       3.736645534058e-13       0.000000000000e+00       1.476251475950e-09       1.207151327181e-10      -2.673017444946e-13 
    9       1.171274841769e-10       2.320993039006e-15       3.009037765728e-13       0.000000000000e+00       1.243340450208e-09       1.038199269589e-10      -6.933225073694e-14 
   10       1.160431786549e-10       1.563897861670e-15       2.418534059972e-13       0.000000000000e+00       1.063519305261e-09       9.031328275255e-11       5.766883844051e-14 
   11       1.155310596164e-10       1.340886179157e-15       1.982874444956e-13       0.000000000000e+00       8.947187583380e-10       7.954159428929e-11       1.232463838079e-13 
   12       1.154708844370e-10       1.284203419270e-15       1.699560684549e-13       0.000000000000e+00       7.820457540632e-10       7.034249807539e-11       1.419427105811e-13 
   13       1.157514624962e-10       1.197221062096e-15       1.550805645894e-13       0.000000000000e+00       6.895367183890e-10       6.283782024460e-11       1.275461385043e-13 
