# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 1.07924 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045278920736e-05       3.702305178170e+05 
       2.342657481107e-05       3.494472226546e+04 
       3.644644763758e-05       1.062143300918e+04 
       4.954794615199e-05       5.108481610251e+03 
       6.276720330205e-05       3.157574527306e+03 
       7.614127334800e-05       2.282163227653e+03 
       8.970846926353e-05       1.829924915795e+03 
       1.035087152564e-04       1.576313694349e+03 
       1.175839189905e-04       1.428072796074e+03 
       1.319783681270e-04       1.341718223396e+03 
       1.467391558033e-04       1.294254106305e+03 
       1.619166396028e-04       1.273119016063e+03 
       1.775649383665e-04       1.270818504493e+03 
       1.937424707923e-04       1.282704436857e+03 
       2.105125390413e-04       1.305815491455e+03 
       2.279439593909e-04       1.338249837281e+03 
       2.461117401469e-04       1.378777531768e+03 
       2.650978043190e-04       1.426562132967e+03 
       2.849917506738e-04       1.481107862872e+03 
       3.058916413497e-04       1.542213222676e+03 
       3.279047968384e-04       1.609756338916e+03 
       3.511485693724e-04       1.683831425788e+03 
       3.757510532181e-04       1.764593175933e+03 
       4.018516748091e-04       1.852312907199e+03 
       4.296015871488e-04       1.947340049186e+03 
       4.591637721385e-04       2.050097266819e+03 
       4.907127330660e-04       2.161058595058e+03 
       5.244336403915e-04       2.280750808827e+03 
       5.605207818915e-04       2.409735313088e+03 
       5.991751697755e-04       2.548593406182e+03 
       6.406011806813e-04       2.697909939047e+03 
       6.850021578991e-04       2.858247615445e+03 
       7.325749949968e-04       3.030131822396e+03 
       7.835038466417e-04       3.214011005849e+03 
       8.379532663540e-04       3.410240142441e+03 
       8.960612299658e-04       3.619049745769e+03 
       9.579326334514e-04       3.840520922177e+03 
       1.023633914793e-03       4.074572605853e+03 
       1.093189408472e-03       4.320941657095e+03 
       1.166579885769e-03       4.579195293028e+03 
       1.243743482962e-03       4.848740324948e+03 
       1.324578921228e-03       5.128834406015e+03 
       1.408950641606e-03       5.411279222990e+03 
       1.496695275622e-03       5.688991742761e+03 
       1.587628782491e-03       5.970691588242e+03 
       1.681553609701e-03       6.255223907797e+03 
       1.778265348813e-03       6.541499425158e+03 
       1.877558521666e-03       6.828471003756e+03 
       1.979231302626e-03       7.115154135624e+03 
       2.083089130175e-03       7.400648899346e+03 
       2.188947270049e-03       7.684159488723e+03 
       2.296632459529e-03       7.964925606788e+03 
       2.405983793843e-03       8.242365647393e+03 
       2.516853020190e-03       8.515844885216e+03 
       2.629104392422e-03       8.784953841021e+03 
