# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 10.5321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046849140809e-05       5.220031812086e+01 
       2.344290333290e-05       1.133590582461e+02 
       3.646345031135e-05       1.733745215663e+02 
       4.956567620953e-05       2.329257295182e+02 
       6.278571989140e-05       2.923950943693e+02 
       7.616064213359e-05       3.520671219276e+02 
       8.972876312009e-05       4.121838155587e+02 
       1.035300150666e-04       4.729673414956e+02 
       1.176063145582e-04       5.346315871963e+02 
       1.320019592190e-04       5.973891410669e+02 
       1.467640533345e-04       6.614561109029e+02 
       1.619429669800e-04       7.270558641829e+02 
       1.775928330079e-04       7.944221999981e+02 
       1.937720858397e-04       8.638022464612e+02 
       2.105440452810e-04       9.354592226471e+02 
       2.279775473986e-04       1.009675167208e+03 
       2.461476226662e-04       1.086753668273e+03 
       2.651362188780e-04       1.167022607475e+03 
       2.850329624337e-04       1.250836907725e+03 
       3.059359461624e-04       1.338581220062e+03 
       3.279525244684e-04       1.430672468075e+03 
       3.512000868083e-04       1.527562122882e+03 
       3.758067679555e-04       1.629738005979e+03 
       4.019120379359e-04       1.737725384544e+03 
       4.296670959971e-04       1.852087028727e+03 
       4.592349721928e-04       1.973421819403e+03 
       4.907902187338e-04       2.102361463859e+03 
       5.245180541642e-04       2.239564734690e+03 
       5.606128113638e-04       2.385708758400e+03 
       5.992755419706e-04       2.541476758245e+03 
       6.407106531805e-04       2.707541991204e+03 
       6.851215064256e-04       2.884547689440e+03 
       7.327049973768e-04       3.073083359831e+03 
       7.836452634697e-04       3.273658355243e+03 
       8.381068191921e-04       3.486674081933e+03 
       8.962275784381e-04       3.712397005443e+03 
       9.581123530448e-04       3.950934921849e+03 
       1.023827477408e-03       4.202219339924e+03 
       1.093397167688e-03       4.465995992352e+03 
       1.166802068348e-03       4.741825485724e+03 
       1.243980187374e-03       5.029094203220e+03 
       1.324830123093e-03       5.327034875301e+03 
       1.409216205131e-03       5.634738257148e+03 
