# Matter power spectrum P(k) at redshift z=0
# for k=1.04657e-05 to 1.09063 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349907095508e-02       2.548794499433e+04 
       1.362806712298e-02       2.553089313502e+04 
       1.375709960608e-02       2.557164057966e+04 
       1.388616851753e-02       2.561020443806e+04 
       1.401527399352e-02       2.564661162865e+04 
       1.414441619293e-02       2.568090085268e+04 
       1.427359529694e-02       2.571309602367e+04 
       1.440281150881e-02       2.574320045359e+04 
       1.453206505355e-02       2.577127291727e+04 
       1.466135617772e-02       2.579732676335e+04 
       1.479068514917e-02       2.582137863409e+04 
       1.492005225694e-02       2.584348050203e+04 
       1.504945781105e-02       2.586362663374e+04 
       1.517890214236e-02       2.588186930926e+04 
       1.530838560253e-02       2.589822478794e+04 
       1.543790856391e-02       2.591271938233e+04 
       1.556747141945e-02       2.592537783953e+04 
       1.569707458275e-02       2.593622274443e+04 
       1.582671848795e-02       2.594528140072e+04 
       1.595640358985e-02       2.595257267241e+04 
       1.608613036384e-02       2.595810453233e+04 
       1.621589930601e-02       2.596193297170e+04 
       1.634571093323e-02       2.596404428356e+04 
       1.647556578319e-02       2.596449463541e+04 
       1.660546441453e-02       2.596329163051e+04 
       1.673540740701e-02       2.596045654616e+04 
       1.686539536158e-02       2.595602736536e+04 
       1.699542890059e-02       2.594999953123e+04 
       1.712550866796e-02       2.594242909197e+04 
       1.725563532938e-02       2.593331139824e+04 
       1.738580957250e-02       2.592270307113e+04 
       1.751603210721e-02       2.591056057442e+04 
       1.764630366582e-02       2.589696485412e+04 
       1.777662500340e-02       2.588191303772e+04 
       1.790699689797e-02       2.586543436131e+04 
       1.803742015090e-02       2.584756728336e+04 
       1.816789558714e-02       2.582828225128e+04 
       1.829842405559e-02       2.580765126091e+04 
       1.842900642945e-02       2.578567443764e+04 
       1.855964360655e-02       2.576236088265e+04 
       1.869033650978e-02       2.573775284913e+04 
       1.882108608744e-02       2.571186105217e+04 
       1.895189331370e-02       2.568468406682e+04 
       1.908275918899e-02       2.565629738338e+04 
       1.921368474047e-02       2.562667183641e+04 
       1.934467102252e-02       2.559581650796e+04 
       1.947571911717e-02       2.556382185103e+04 
       1.960683013466e-02       2.553064469758e+04 
       1.973800521394e-02       2.549631254486e+04 
       1.986924552319e-02       2.546086818932e+04 
       2.000055226042e-02       2.542432834871e+04 
       2.013192665404e-02       2.538663264750e+04 
       2.026336996342e-02       2.534792183340e+04 
       2.039488347958e-02       2.530814783883e+04 
       2.052646852578e-02       2.526732594906e+04 
       2.065812645819e-02       2.522550517628e+04 
       2.078985866660e-02       2.518273234820e+04 
       2.092166657510e-02       2.513890079047e+04 
       2.105355164284e-02       2.509416769743e+04 
       2.118551536474e-02       2.504844824839e+04 
       2.131755927230e-02       2.500183436455e+04 
       2.144968493443e-02       2.495430616076e+04 
       2.158189395820e-02       2.490591060813e+04 
       2.171418798976e-02       2.485659957445e+04 
       2.184656871521e-02       2.480647089264e+04 
       2.197903786149e-02       2.475546147218e+04 
       2.211159719732e-02       2.470363479872e+04 
       2.224424853420e-02       2.465098953253e+04 
       2.237699372737e-02       2.459758955488e+04 
       2.250983467684e-02       2.454340066545e+04 
       2.264277332848e-02       2.448846295783e+04 
       2.277581167509e-02       2.443273295592e+04 
       2.290895175753e-02       2.437632454137e+04 
       2.304219566589e-02       2.431916286637e+04 
       2.317554554068e-02       2.426129645773e+04 
       2.330900357409e-02       2.420278480260e+04 
       2.344257201125e-02       2.414361715385e+04 
       2.357625315154e-02       2.408370637394e+04 
       2.371004934995e-02       2.402322274638e+04 
       2.384396301850e-02       2.396212299754e+04 
       2.397799662768e-02       2.390037453525e+04 
       2.411215270793e-02       2.383804887839e+04 
       2.424643385119e-02       2.377513830398e+04 
       2.438084271249e-02       2.371161258862e+04 
       2.451538201158e-02       2.364756494729e+04 
       2.465005453465e-02       2.358300581140e+04 
       2.478486313605e-02       2.351787111422e+04 
       2.491981074014e-02       2.345223171173e+04 
       2.505490034309e-02       2.338611015152e+04 
       2.519013501487e-02       2.331948112522e+04 
       2.532551790123e-02       2.325237047181e+04 
       2.546105222573e-02       2.318482890710e+04 
       2.559674129190e-02       2.311678359265e+04 
       2.573258848543e-02       2.304831469207e+04 
       2.586859727644e-02       2.297939291921e+04 
       2.600477122184e-02       2.291006907223e+04 
       2.614111396777e-02       2.284035244816e+04 
       2.627762925208e-02       2.277027089677e+04 
       2.641432090701e-02       2.269981729458e+04 
       2.655119286181e-02       2.262899216169e+04 
       2.668824914557e-02       2.255767940722e+04 
       2.682549389013e-02       2.248611828320e+04 
       2.696293133301e-02       2.241427077633e+04 
       2.710056582058e-02       2.234198566551e+04 
       2.723840181125e-02       2.226950610340e+04 
       2.737644387877e-02       2.219661029441e+04 
       2.751469671573e-02       2.212351064603e+04 
       2.765316513712e-02       2.205009473114e+04 
       2.779185408404e-02       2.197641143882e+04 
       2.793076862755e-02       2.190244085011e+04 
       2.806991397270e-02       2.182825084446e+04 
       2.820929546263e-02       2.175374058223e+04 
       2.834891858292e-02       2.167906579159e+04 
       2.848878896605e-02       2.160418971828e+04 
       2.862891239604e-02       2.152903686215e+04 
       2.876929481331e-02       2.145370467957e+04 
       2.890994231968e-02       2.137817320671e+04 
       2.905086118359e-02       2.130244394632e+04 
       2.919205784553e-02       2.122657595862e+04 
       2.933353892373e-02       2.115048911092e+04 
       2.947531121999e-02       2.107427617990e+04 
       2.961738172582e-02       2.099783927418e+04 
       2.975975762885e-02       2.092129515379e+04 
       2.990244631940e-02       2.084462870014e+04 
       3.004545539748e-02       2.076779853182e+04 
       3.018879267998e-02       2.069082351420e+04 
       3.033246620817e-02       2.061380556320e+04 
       3.047648425559e-02       2.053663141314e+04 
       3.062085533619e-02       2.045934662966e+04 
       3.076558821298e-02       2.038197225169e+04 
       3.091069190684e-02       2.030447034580e+04 
       3.105617570595e-02       2.022698169138e+04 
       3.120204917551e-02       2.014931241776e+04 
       3.134832216792e-02       2.007162581016e+04 
       3.149500483349e-02       1.999381796098e+04 
       3.164210763155e-02       1.991601774654e+04 
       3.178964134219e-02       1.983813558408e+04 
       3.193761707845e-02       1.976021983600e+04 
       3.208604629920e-02       1.968223146769e+04 
       3.223494082250e-02       1.960428492018e+04 
       3.238431283977e-02       1.952620604030e+04 
       3.253417493054e-02       1.944812856417e+04 
       3.268454007798e-02       1.937000683320e+04 
       3.283542168519e-02       1.929191352299e+04 
       3.298683359234e-02       1.921379056645e+04 
       3.313879009463e-02       1.913566025125e+04 
       3.329130596128e-02       1.905751405026e+04 
       3.344439645541e-02       1.897940514299e+04 
       3.359807735498e-02       1.890124260201e+04 
       3.375236497494e-02       1.882306562481e+04 
       3.390727619044e-02       1.874495810800e+04 
       3.406282846142e-02       1.866688355930e+04 
       3.421903985845e-02       1.858874659152e+04 
       3.437592909012e-02       1.851067809847e+04 
