    2       1.593184225387e-10       7.367111371583e-15       5.006592550466e-13       2.658826964496e-19       8.595246777263e-09       5.030257520140e-10      -2.515236491070e-12       3.894466550576e-09 
    3       1.497029349048e-10       1.243795185226e-14       6.317864125770e-13       5.319994008934e-19       5.331608890546e-09       3.587842881539e-10      -2.212488081855e-12       2.127538473595e-09 
    4       1.402413021021e-10       1.446496412884e-14       6.549803959325e-13       8.871774987875e-19       3.716587205843e-09       2.727982531929e-10      -1.761656801438e-12       1.346870179269e-09 
    5       1.326973284792e-10       1.331586724990e-14       6.142076588315e-13       1.331706530085e-18       2.776828190648e-09       2.162777015574e-10      -1.303832703035e-12       9.280485484992e-10 
    6       1.270266389202e-10       1.022149033865e-14       5.407357143954e-13       1.865929829115e-18       2.170547341384e-09       1.764802939227e-10      -8.869170380762e-13       6.748782562695e-10 
    7       1.228895351526e-10       6.738762794461e-15       4.561527092535e-13       2.490233226711e-18       1.751251015109e-09       1.470996876908e-10      -5.354411687606e-13       5.099325176686e-10 
    8       1.200213778198e-10       3.967681279100e-15       3.734624215329e-13       3.205032530355e-18       1.446767364463e-09       1.246893157025e-10      -2.602117514219e-13       3.965677693653e-10 
    9       1.180889706398e-10       2.299265291533e-15       3.004079829075e-13       4.010760276947e-18       1.218150867542e-09       1.071791839659e-10      -6.265919926915e-14       3.154440370713e-10 
   10       1.169274307380e-10       1.563706020490e-15       2.412558255536e-13       4.907852280054e-18       1.041727468731e-09       9.319929668915e-11       6.288791839509e-14       2.555267789748e-10 
   11       1.163354914350e-10       1.351076429244e-15       1.977172041876e-13       5.896734499452e-18       8.780368722050e-10       8.202034073060e-11       1.264306478754e-13       2.101299243877e-10 
   12       1.161646463829e-10       1.293801025853e-15       1.696304990880e-13       6.977810745341e-18       7.673167005986e-10       7.251303141819e-11       1.430850886236e-13       1.750040090417e-10 
   13       1.163902106660e-10       1.202304856062e-15       1.552423045246e-13       8.151451693319e-18       6.764054420839e-10       6.459465140418e-11       1.264939941599e-13       1.473411686581e-10 
   14       1.169137827476e-10       1.055835609254e-15       1.516753872646e-13       9.417985630607e-18       6.007634702658e-10       5.808881072139e-11       9.055095261083e-14       1.252252510258e-10 
   15       1.176300479689e-10       9.167289227231e-16       1.557443938218e-13       1.077769128132e-17       5.370961837872e-10       5.248645120439e-11       4.667117184377e-14       1.073125085051e-10 
   16       1.185498407140e-10       8.441562440655e-16       1.644028106003e-13       1.223079297182e-17       4.829570693010e-10       4.761352024489e-11       4.143759362441e-15       9.263835858185e-11 
   17       1.196294012720e-10       8.516507975346e-16       1.749960397365e-13       1.377745829970e-17       4.365099352655e-10       4.340890423341e-11      -3.062917016682e-14       8.049625171021e-11 
   18       1.208398739252e-10       9.091714003468e-16       1.856567404907e-13       1.541779714072e-17       3.961934109425e-10       3.975125207916e-11      -5.423806169749e-14       7.031731645963e-11 
   19       1.221848271295e-10       9.844197265596e-16       1.954225868714e-13       1.715187052588e-17       3.613696400981e-10       3.657524615272e-11      -6.598885939875e-14       6.182887769805e-11 
   20       1.236131475120e-10       1.045651845917e-15       2.035406239112e-13       1.897968236268e-17       3.306971970376e-10       3.375095279209e-11      -6.695721454960e-14       5.459352962267e-11 
   21       1.251293732665e-10       1.098055466919e-15       2.100567763869e-13       2.090120461466e-17       3.036948427123e-10       3.122192519851e-11      -5.944579375626e-14       4.842952225308e-11 
   22       1.267217353551e-10       1.162020732710e-15       2.153894040350e-13       2.291636741412e-17       2.797169302817e-10       2.892126123009e-11      -4.692743702476e-14       4.312623788383e-11 
   23       1.283877019051e-10       1.256450166963e-15       2.200311686452e-13       2.502508899876e-17       2.584341308868e-10       2.685249625982e-11      -3.233831875522e-14       3.856654268234e-11 
   24       1.301072425159e-10       1.398332713094e-15       2.245578951125e-13       2.722726577694e-17       2.393546879031e-10       2.501485958462e-11      -1.870883717413e-14       3.460040831720e-11 
   25       1.318922698270e-10       1.586860495384e-15       2.294022312655e-13       2.952280723351e-17       2.222541502527e-10       2.338465627059e-11      -7.840466611591e-15       3.115200484241e-11 
   26       1.337451580879e-10       1.814038200925e-15       2.349123738810e-13       3.191162378009e-17       2.068230427874e-10       2.191258578711e-11      -1.035870313861e-15       2.813034459067e-11 
   27       1.356508630536e-10       2.073807774999e-15       2.410943006542e-13       3.439365733783e-17       1.928772303008e-10       2.056626958871e-11       1.502315981290e-15       2.547704645774e-11 
   28       1.375807864686e-10       2.360523644903e-15       2.477725537713e-13       3.696887356957e-17       1.801774618305e-10       1.931205914456e-11       1.640577560387e-16       2.312408917608e-11 
   29       1.395449048498e-10       2.673827712919e-15       2.546264696360e-13       3.963729710660e-17       1.686588905872e-10       1.815349092027e-11      -4.126900213437e-15       2.104813851524e-11 
   30       1.415544155315e-10       3.014889915005e-15       2.611934571594e-13       4.239899181385e-17       1.581973550986e-10       1.709803963512e-11      -9.959607005118e-15       1.921636807042e-11 
   31       1.436095521765e-10       3.384265503719e-15       2.669338147554e-13       4.525406066878e-17       1.485790132458e-10       1.614376656781e-11      -1.572153918471e-14       1.757773997411e-11 
   32       1.457136059112e-10       3.779857387672e-15       2.714678039871e-13       4.820266927296e-17       1.397544788198e-10       1.528235340970e-11      -2.058009006147e-14       1.611534133916e-11 
   33       1.478613273825e-10       4.198091358389e-15       2.744170438310e-13       5.124503951323e-17       1.316619283159e-10       1.449521084859e-11      -2.384480099127e-14       1.481019891212e-11 
   34       1.500400854616e-10       4.635952972294e-15       2.754248184333e-13       5.438144329244e-17       1.241886943061e-10       1.375854791011e-11      -2.490904159003e-14       1.363382503461e-11 
