# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.678673959299e-10       9.073989079426e-15       2.264370067398e-13       8.498784642821e-17       8.310313021008e-11       9.064332762013e-12      -5.672652862923e-15 
   43       1.702867309516e-10       9.809510132034e-15       2.145449718535e-13       8.908671250901e-17       7.915585977669e-11       8.672840533106e-12      -5.932317282694e-15 
   44       1.727372166282e-10       1.058292229720e-14       2.013417766091e-13       9.328525383095e-17       7.546075776061e-11       8.305750594161e-12      -6.862551655598e-15 
   45       1.752224704878e-10       1.139351672454e-14       1.867006932538e-13       9.758366168589e-17       7.198201812560e-11       7.961813609935e-12      -8.125069658742e-15 
   46       1.777442631877e-10       1.224146826204e-14       1.705071512019e-13       1.019819652961e-16       6.871424235184e-11       7.640405802805e-12      -9.510940591843e-15 
   47       1.803016900371e-10       1.312715635639e-14       1.526394812133e-13       1.064801178407e-16       6.565368777561e-11       7.340270974503e-12      -1.082250528875e-14 
   48       1.828906939992e-10       1.405090618013e-14       1.329610637193e-13       1.110780275442e-16       6.278691391185e-11       7.058991760066e-12      -1.182745989361e-14 
   49       1.855038034863e-10       1.501298656410e-14       1.113194463500e-13       1.157755551910e-16       6.009006087741e-11       6.792906523699e-12      -1.225704222105e-14 
   50       1.881332190439e-10       1.601361389393e-14       8.758714227658e-14       1.205725072124e-16       5.753605000640e-11       6.538170187254e-12      -1.189167127839e-14 
   51       1.907816694624e-10       1.705296984327e-14       6.179912804083e-14       1.254686185003e-16       5.512016395104e-11       6.294468982364e-12      -1.084947812405e-14 
   52       1.934540491960e-10       1.813118488015e-14       3.405114254946e-14       1.304635606327e-16       5.284016272040e-11       6.062170375187e-12      -9.372958461384e-15 
   53       1.961542248933e-10       1.924833097904e-14       4.462321630365e-15       1.355569432639e-16       5.068862785553e-11       5.841238684788e-12      -7.750611760557e-15 
   54       1.988849307869e-10       2.040441983403e-14      -2.682372298973e-14       1.407483114312e-16       4.865261366175e-11       5.631205811123e-12      -6.319243061547e-15 
   55       2.016479466163e-10       2.159942670609e-14      -5.967326387526e-14       1.460371961247e-16       4.671760673269e-11       5.431399081138e-12      -5.385195372990e-15 
   56       2.044449228099e-10       2.283337299635e-14      -9.407800598353e-14       1.514232868800e-16       4.488135537905e-11       5.241758129095e-12      -4.959859435784e-15 
   57       2.072765770626e-10       2.410626105589e-14      -1.300663532779e-13       1.569062973435e-16       4.314286483283e-11       5.062169674629e-12      -4.962490695518e-15 
   58       2.101423381965e-10       2.541804957771e-14      -1.676707796857e-13       1.624859151599e-16       4.149821298089e-11       4.892209348824e-12      -5.294683932317e-15 
   59       2.130402525577e-10       2.676865280859e-14      -2.069281308675e-13       1.681618013538e-16       3.994036945281e-11       4.731122439796e-12      -5.839516515693e-15 
   60       2.159668904142e-10       2.815793976087e-14      -2.478799259861e-13       1.739335897112e-16       3.845901470871e-11       4.577804638262e-12      -6.460691659401e-15 
   61       2.189187863551e-10       2.958567658441e-14      -2.905642708040e-13       1.798009642553e-16       3.704341142763e-11       4.431101034926e-12      -7.030535537380e-15 
   62       2.218973500564e-10       3.105134034985e-14      -3.349887931317e-13       1.857639133924e-16       3.569218110059e-11       4.290825097340e-12      -7.523270347731e-15 
   63       2.249048967061e-10       3.255426187818e-14      -3.811521402978e-13       1.918225319744e-16       3.440541085390e-11       4.156935286923e-12      -7.941252359595e-15 
   64       2.279431662282e-10       3.409367635191e-14      -4.290518666554e-13       1.979769500606e-16       3.318171239201e-11       4.029228014690e-12      -8.288023099011e-15 
   65       2.310132783527e-10       3.566872072348e-14      -4.786844691842e-13       2.042273347775e-16       3.201813793256e-11       3.907328484723e-12      -8.568368114967e-15 
