# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.675427524365e-10       9.118084496208e-15       2.276493428734e-13       7.903377357448e-17       8.165531711080e-11       8.891867094779e-12      -5.475382731040e-15 
   43       1.699758072259e-10       9.857489223065e-15       2.157949056088e-13       8.284722130617e-17       7.776036644347e-11       8.502823339365e-12      -5.823927288156e-15 
   44       1.724373916744e-10       1.063485349184e-14       2.026015066747e-13       8.675352900363e-17       7.411493924269e-11       8.138382482547e-12      -6.831162625610e-15 
   45       1.749208923066e-10       1.144944832020e-14       1.879170880009e-13       9.075287406466e-17       7.068355972398e-11       7.797604195598e-12      -8.135771475980e-15 
   46       1.774288361778e-10       1.230148029732e-14       1.716310556355e-13       9.484527460201e-17       6.746083615357e-11       7.479849676879e-12      -9.528667986280e-15 
   47       1.799647727320e-10       1.319138202081e-14       1.536359923370e-13       9.903067355618e-17       6.444302889794e-11       7.183744090922e-12      -1.081965395371e-14 
   48       1.825300652991e-10       1.411954201997e-14       1.338126968255e-13       1.033089690719e-16       6.161682390638e-11       6.906730814982e-12      -1.178578273021e-14 
   49       1.851236829292e-10       1.508630325393e-14       1.120294782143e-13       1.076800120355e-16       5.895862062455e-11       6.644987345722e-12      -1.216965559119e-14 
   50       1.877436001387e-10       1.609195111790e-14       8.817706169835e-14       1.121435996591e-16       5.644164265631e-11       6.394512822360e-12      -1.176280146619e-14 
   51       1.903919270162e-10       1.713667710819e-14       6.228611236062e-14       1.166994598918e-16       5.406119720078e-11       6.154933700034e-12      -1.068645006907e-14 
   52       1.930708117973e-10       1.822060269843e-14       3.444039225595e-14       1.213472585208e-16       5.181504111906e-11       5.926585723001e-12      -9.184026629071e-15 
   53       1.957808253006e-10       1.934378702123e-14       4.744884518431e-15       1.260866001690e-16       4.969582164252e-11       5.709404322303e-12      -7.544975293512e-15 
   54       1.985208284280e-10       2.050622487260e-14      -2.667323638332e-14       1.309170256461e-16       4.769073241581e-11       5.502895657348e-12      -6.107059419424e-15 
   55       2.012890727027e-10       2.170786808820e-14      -5.969455326738e-14       1.358380621167e-16       4.578542198512e-11       5.306372414006e-12      -5.177095543562e-15 
   56       2.040871255869e-10       2.294870046238e-14      -9.430818719511e-14       1.408493942628e-16       4.397764425193e-11       5.119796135840e-12      -4.764826324527e-15 
   57       2.069166882126e-10       2.422867794525e-14      -1.305343531894e-13       1.459507310025e-16       4.226639661733e-11       4.943093423080e-12      -4.786965067772e-15 
   58       2.097783651576e-10       2.554770584002e-14      -1.683958641483e-13       1.511417558214e-16       4.064779024416e-11       4.775891272119e-12      -5.142111229638e-15 
   59       2.126715799857e-10       2.690563771808e-14      -2.079183652216e-13       1.564221261818e-16       3.911487177968e-11       4.617498432272e-12      -5.709872800407e-15 
   60       2.155944907868e-10       2.830227433393e-14      -2.491305681866e-13       1.617914729321e-16       3.765744507830e-11       4.466886762544e-12      -6.349988687341e-15 
   61       2.185450637953e-10       2.973732663010e-14      -2.920593179950e-13       1.672494765660e-16       3.626490369526e-11       4.322969623666e-12      -6.931314841689e-15 
   62       2.215247669231e-10       3.121029750261e-14      -3.367129681629e-13       1.727961173410e-16       3.493587463289e-11       4.185552251573e-12      -7.428370986768e-15 
   63       2.245355591770e-10       3.272057145035e-14      -3.830946727311e-13       1.784314805089e-16       3.367043273173e-11       4.054562593526e-12      -7.845006116490e-15 
