# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.696060555229e-10       9.048273893561e-15       2.175303273743e-13       7.353260187737e-17       8.075266320982e-11       8.905069711416e-12      -5.535670056485e-15 
   43       1.720677612708e-10       9.780919319555e-15       2.056830176822e-13       7.708196068485e-17       7.688656642253e-11       8.516415337868e-12      -5.899027663626e-15 
   44       1.745522193928e-10       1.055103744631e-14       1.925130392796e-13       8.071793444222e-17       7.326862554027e-11       8.152427884556e-12      -6.909237675748e-15 
   45       1.770534506424e-10       1.135789552526e-14       1.778678389182e-13       8.444069477632e-17       6.986355531899e-11       7.812252987338e-12      -8.200693133583e-15 
   46       1.795740202293e-10       1.220168388865e-14       1.616390415165e-13       8.825025296130e-17       6.666596090418e-11       7.495183225711e-12      -9.566950540683e-15 
   47       1.821173691655e-10       1.308281527488e-14       1.437226119395e-13       9.214654422005e-17       6.367209298048e-11       7.199716656424e-12      -1.082314223635e-14 
   48       1.846847771078e-10       1.400165812907e-14       1.240033281941e-13       9.612945813813e-17       6.086869550281e-11       6.923146760378e-12      -1.175276882721e-14 
   49       1.872751555591e-10       1.495853511065e-14       1.023541116007e-13       1.001988361464e-16       5.823229889402e-11       6.661477142081e-12      -1.210605721025e-14 
   50       1.898864785370e-10       1.595370802155e-14       7.866972167854e-14       1.043544657922e-16       5.573628241467e-11       6.410562484544e-12      -1.168152750643e-14 
   51       1.925210121642e-10       1.698733123035e-14       5.298017716666e-14       1.085960675587e-16       5.337596101207e-11       6.170094416794e-12      -1.060060466699e-14 
   52       1.951811471276e-10       1.805948302593e-14       2.536696401747e-14       1.129233001166e-16       5.114908626165e-11       5.940550117817e-12      -9.104708825576e-15 
   53       1.978677586146e-10       1.917017601094e-14      -4.067713663243e-15       1.173357606178e-16       4.904833925397e-11       5.722033681845e-12      -7.480781051193e-15 
   54       2.005800765729e-10       2.031935497042e-14      -3.519998628182e-14       1.218329820269e-16       4.706098940048e-11       5.514248523939e-12      -6.063557084690e-15 
   55       2.033167170413e-10       2.150692817804e-14      -6.791343385626e-14       1.264144847247e-16       4.517277396969e-11       5.316687727988e-12      -5.156690174850e-15 
   56       2.060793733958e-10       2.273287530552e-14      -1.021970714197e-13       1.310799524438e-16       4.338144693288e-11       5.129323680907e-12      -4.767964579201e-15 
   57       2.088698148365e-10       2.399716258684e-14      -1.380700459639e-13       1.358290953652e-16       4.168599831401e-11       4.952041424607e-12      -4.812286040308e-15 
   58       2.116887229902e-10       2.529971091848e-14      -1.755539257293e-13       1.406615991338e-16       4.008255544917e-11       4.784417036245e-12      -5.186200901669e-15 
   59       2.145356074059e-10       2.664039503078e-14      -2.146729241347e-13       1.455771243041e-16       3.856420623632e-11       4.625698525077e-12      -5.767008120775e-15 
   60       2.174087210503e-10       2.801904265919e-14      -2.554541237059e-13       1.505753057865e-16       3.712082238514e-11       4.474786729321e-12      -6.411871282160e-15 
   61       2.203061269985e-10       2.943538209025e-14      -2.979228016301e-13       1.556558298825e-16       3.574186952895e-11       4.330531506993e-12      -6.987623031006e-15 
   62       2.232293694697e-10       3.088887291561e-14      -3.420866737423e-13       1.608186868504e-16       3.442597450023e-11       4.192741214800e-12      -7.470004818799e-15 
   63       2.261804805901e-10       3.237883564548e-14      -3.879484952035e-13       1.660639743058e-16       3.317320165953e-11       4.061366949954e-12      -7.865228210217e-15 
   64       2.291608548818e-10       3.390449756403e-14      -4.355107139490e-13       1.713918265045e-16       3.198217517530e-11       3.936198331886e-12      -8.181332248303e-15 
   65       2.321712012841e-10       3.546499026262e-14      -4.847755391956e-13       1.768024162508e-16       3.084999704454e-11       3.816854403148e-12      -8.428269314818e-15 
   66       2.352114951762e-10       3.705934717312e-14      -5.357450099492e-13       1.822959568052e-16       2.977216511348e-11       3.702774530302e-12      -8.617990990587e-15 
