# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 10.5321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.362865640141e-02       2.567824821244e+04 
       1.375860167099e-02       2.572170557747e+04 
       1.388858336121e-02       2.576296465345e+04 
       1.401860159688e-02       2.580205022213e+04 
       1.414865652573e-02       2.583898957680e+04 
       1.427874831808e-02       2.587379427734e+04 
       1.440887716652e-02       2.590650548838e+04 
       1.453904328559e-02       2.593715281333e+04 
       1.466924691159e-02       2.596575409016e+04 
       1.479948830228e-02       2.599233645654e+04 
       1.492976773673e-02       2.601692927315e+04 
       1.506008551513e-02       2.603955218020e+04 
       1.519044195868e-02       2.606024501433e+04 
       1.532083740943e-02       2.607902275126e+04 
       1.545127223022e-02       2.609592304432e+04 
       1.558174680461e-02       2.611096100882e+04 
       1.571226153681e-02       2.612416181137e+04 
       1.584281685170e-02       2.613555880407e+04 
       1.597341319479e-02       2.614515196301e+04 
       1.610405103226e-02       2.615297867128e+04 
       1.623473085099e-02       2.615906737817e+04 
       1.636545315865e-02       2.616341907262e+04 
       1.649621848373e-02       2.616609542505e+04 
       1.662702737567e-02       2.616708005778e+04 
       1.675788040498e-02       2.616641101308e+04 
       1.688877816336e-02       2.616413079046e+04 
       1.701972126387e-02       2.616024015793e+04 
       1.715071034106e-02       2.615477325059e+04 
       1.728174605121e-02       2.614774110075e+04 
       1.741282907251e-02       2.613917358489e+04 
       1.754396010529e-02       2.612907580924e+04 
       1.767513987222e-02       2.611749834657e+04 
       1.780636911863e-02       2.610446313643e+04 
       1.793764861274e-02       2.608994500738e+04 
       1.806897914596e-02       2.607402507573e+04 
       1.820036153318e-02       2.605667151510e+04 
       1.833179661312e-02       2.603797624947e+04 
       1.846328524865e-02       2.601788251589e+04 
       1.859482832715e-02       2.599642392740e+04 
       1.872642676089e-02       2.597366579894e+04 
       1.885808148739e-02       2.594958674958e+04 
       1.898979346988e-02       2.592423171571e+04 
       1.912156369767e-02       2.589761310118e+04 
       1.925339318662e-02       2.586975086196e+04 
       1.938528297958e-02       2.584065720029e+04 
       1.951723414690e-02       2.581037265939e+04 
       1.964924778691e-02       2.577890546945e+04 
       1.978132502638e-02       2.574626310822e+04 
       1.991346702117e-02       2.571249023427e+04 
       2.004567495665e-02       2.567754429734e+04 
       2.017795004836e-02       2.564151631791e+04 
       2.031029354258e-02       2.560438614913e+04 
       2.044270671692e-02       2.556622374574e+04 
       2.057519088097e-02       2.552699187509e+04 
       2.070774737695e-02       2.548672344361e+04 
       2.084037758038e-02       2.544543271967e+04 
       2.097308290079e-02       2.540314775457e+04 
       2.110586478242e-02       2.535987555644e+04 
       2.123872470496e-02       2.531564747413e+04 
       2.137166418434e-02       2.527046928703e+04 
       2.150468477352e-02       2.522438459555e+04 
       2.163778806327e-02       2.517739848480e+04 
       2.177097568305e-02       2.512946905015e+04 
       2.190424930187e-02       2.508068832160e+04 
       2.203761062915e-02       2.503104910168e+04 
       2.217106141571e-02       2.498058809433e+04 
       2.230460345465e-02       2.492929622571e+04 
       2.243823858241e-02       2.487715914549e+04 
       2.257196867970e-02       2.482427437404e+04 
       2.270579567260e-02       2.477056994331e+04 
       2.283972153363e-02       2.471607497829e+04 
       2.297374828284e-02       2.466094550442e+04 
       2.310787798898e-02       2.460502008158e+04 
       2.324211277066e-02       2.454835196661e+04 
       2.337645479759e-02       2.449099777304e+04 
       2.351090629182e-02       2.443291880680e+04 
       2.364546952903e-02       2.437427965001e+04 
       2.378014683990e-02       2.431495365040e+04 
       2.391494061145e-02       2.425495879772e+04 
       2.404985328850e-02       2.419430981363e+04 
       2.418488737510e-02       2.413304412578e+04 
       2.432004543610e-02       2.407120565931e+04 
       2.445533009864e-02       2.400878697597e+04 
       2.459074405384e-02       2.394577938413e+04 
       2.472629005842e-02       2.388219675412e+04 
       2.486197093642e-02       2.381809012059e+04 
       2.499778958103e-02       2.375341478646e+04 
