    2       1.183473043895e+03       5.472548359888e-02       1.975069794642e-06       3.719072302390e+00       5.157148066358e-08       3.358242322476e-03      -1.679193083362e-05 
    3       1.112045833926e+03       9.239346275122e-02       3.951877882626e-06       4.693130755813e+00       6.397930668655e-08       3.387429190034e-03      -2.088900478235e-05 
    4       1.041761511530e+03       1.074508199027e-01       6.590265194913e-06       4.865423787870e+00       7.433174411686e-08       3.325085134078e-03      -2.147249395203e-05 
    5       9.857222331827e+02       9.891492581476e-02       9.892382535686e-06       4.562549616033e+00       8.330484571943e-08       3.228632092202e-03      -1.946384707055e-05 
    6       9.435983649794e+02       7.592881031245e-02       1.386078031259e-05       4.016774279213e+00       9.116298833813e-08       3.117217099982e-03      -1.566584515418e-05 
    7       9.128665091735e+02       5.005789028892e-02       1.849832461220e-05       3.388462091821e+00       9.807005684613e-08       3.000212046704e-03      -1.092073729071e-05 
    8       8.915608319329e+02       2.947332622152e-02       2.380810419812e-05       2.774209672359e+00       1.041672502413e-07       2.883644216029e-03      -6.017822037943e-06 
    9       8.772062345745e+02       1.707974790318e-02       2.979333210595e-05       2.231535714933e+00       1.096335780788e-07       2.771263917572e-03      -1.620139019661e-06 
   10       8.685779093544e+02       1.161575600823e-02       3.645724571150e-05       1.792132772065e+00       1.145900215604e-07       2.664128472280e-03       1.797669080246e-06 
   11       8.641807768852e+02       1.003626893094e-02       4.380300919319e-05       1.468712643157e+00       1.159008671311e-07       2.568353042600e-03       3.959000124312e-06 
   12       8.629116799994e+02       9.610807173847e-03       5.183362219461e-05       1.260074760308e+00       1.197014052934e-07       2.468451205287e-03       4.870828767791e-06 
   13       8.645872504984e+02       8.931141578107e-03       6.055183822393e-05       1.153194211626e+00       1.231057904593e-07       2.375081075219e-03       4.651058332651e-06 
   14       8.684765273017e+02       7.843116711963e-03       6.996009591362e-05       1.126697900906e+00       1.261603287558e-07       2.294290034878e-03       3.576422819537e-06 
   15       8.737971962371e+02       6.809783522293e-03       8.006046572405e-05       1.156923906782e+00       1.289030841089e-07       2.216149308739e-03       1.970609230501e-06 
   16       8.806297389050e+02       6.270688246643e-03       9.085461402990e-05       1.221241659223e+00       1.313643228499e-07       2.140232378777e-03       1.862623874846e-07 
   17       8.886490928465e+02       6.326360414779e-03       1.023437858049e-04       1.299931875526e+00       1.335720401913e-07       2.069596697661e-03      -1.460300151520e-06 
   18       8.976409076821e+02       6.753643599059e-03       1.145287972447e-04       1.379123294638e+00       1.354981465423e-07       2.003595519998e-03      -2.733778981705e-06 
   19       9.076316911539e+02       7.312614521894e-03       1.274101017089e-04       1.451667422042e+00       1.373204632373e-07       1.943234634271e-03      -3.505973316606e-06 
   20       9.182417552242e+02       7.767468151028e-03       1.409877282238e-04       1.511971044516e+00       1.388928227558e-07       1.885197560380e-03      -3.739970788271e-06 
   21       9.295048111864e+02       8.156740602202e-03       1.552614685246e-04       1.560375307388e+00       1.403070173331e-07       1.829055370904e-03      -3.482477382680e-06 
   22       9.413334345055e+02       8.631897000328e-03       1.702308036098e-04       1.599987933311e+00       1.415367667225e-07       1.773122223184e-03      -2.877055768893e-06 
   23       9.537088175437e+02       9.333351911876e-03       1.858951261202e-04       1.634468586614e+00       1.426556402495e-07       1.719492912222e-03      -2.070776189847e-06 
   24       9.664821674697e+02       1.038730515890e-02       2.022536665409e-04       1.668094696298e+00       1.436128127419e-07       1.670013111884e-03      -1.249017740164e-06 
   25       9.797419755423e+02       1.178775555760e-02       2.193057524937e-04       1.704080121972e+00       1.444651976642e-07       1.624927001049e-03      -5.448096286120e-07 
   26       9.935058785184e+02       1.347531112335e-02       2.370507184847e-04       1.745011391247e+00       1.451897760368e-07       1.582371206740e-03      -7.480319185033e-08 
   27       1.007662122477e+03       1.540497050386e-02       2.554881330839e-04       1.790932908538e+00       1.458151861074e-07       1.541212804415e-03       1.125818475078e-07 
   28       1.021998269559e+03       1.753479640774e-02       2.746177412227e-04       1.840541311750e+00       1.463040990064e-07       1.499867117053e-03       1.274151201267e-08 
   29       1.036588428827e+03       1.986212875972e-02       2.944397258711e-04       1.891454599377e+00       1.467332348109e-07       1.459371850542e-03      -3.317643988110e-07 
   30       1.051515778002e+03       2.239565825385e-02       3.149545614401e-04       1.940236482788e+00       1.471235402417e-07       1.421130564941e-03      -8.278084641177e-07 
   31       1.066782052813e+03       2.513950950062e-02       3.361630128824e-04       1.982877869571e+00       1.473903811399e-07       1.385820213565e-03      -1.349575187365e-06 
   32       1.082411700899e+03       2.807810457068e-02       3.580663103445e-04       2.016557929615e+00       1.475807296337e-07       1.353531552401e-03      -1.822742905014e-06 
   33       1.098365728227e+03       3.118489299161e-02       3.806661020794e-04       2.038465916146e+00       1.477246835705e-07       1.323326933862e-03      -2.176889161113e-06 
   34       1.114550306349e+03       3.443748242073e-02       4.039644078768e-04       2.045952018866e+00       1.477845462243e-07       1.293576947555e-03      -2.341944963747e-06 
   35       1.130980718630e+03       3.785846205570e-02       4.279634819833e-04       2.038745034141e+00       1.477936923519e-07       1.264244422346e-03      -2.317347881473e-06 
   36       1.147661180216e+03       4.148943365140e-02       4.526659605647e-04       2.017535336568e+00       1.477589775215e-07       1.235466488779e-03      -2.138612357515e-06 
   37       1.164561837195e+03       4.537289380303e-02       4.780747501472e-04       1.983321911957e+00       1.476390838947e-07       1.207115724845e-03      -1.856975472245e-06 
   38       1.181711272815e+03       4.952479866117e-02       5.041924070577e-04       1.937071621647e+00       1.474741737938e-07       1.179580669347e-03      -1.514627933937e-06 
