# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.550022367845e-10       7.233059207817e-15       5.041050146547e-13       0.000000000000e+00       8.694176073148e-09       4.773594745145e-10      -2.499009034061e-12 
    3       1.463860035989e-10       1.224316727785e-14       6.325217795854e-13       0.000000000000e+00       5.404911165148e-09       3.418825211340e-10      -2.199054605732e-12 
    4       1.376633662970e-10       1.429636530374e-14       6.544996704288e-13       0.000000000000e+00       3.769618708579e-09       2.604812734708e-10      -1.754292935652e-12 
    5       1.306322405670e-10       1.322460367393e-14       6.134710557280e-13       0.000000000000e+00       2.817455862960e-09       2.068440751111e-10      -1.302505272016e-12 
    6       1.253469927267e-10       1.020749939962e-14       5.402961149125e-13       0.000000000000e+00       2.202492101759e-09       1.690215996977e-10      -8.903674983583e-13 
    7       1.214817099653e-10       6.768207673198e-15       4.561560185167e-13       0.000000000000e+00       1.776932139176e-09       1.409931852711e-10      -5.419740951724e-13 
    8       1.187913458641e-10       4.001640740831e-15       3.738075023178e-13       0.000000000000e+00       1.468097734569e-09       1.195448385918e-10      -2.680567536384e-13 
    9       1.170422597000e-10       2.314411149190e-15       3.008911054913e-13       0.000000000000e+00       1.235920179383e-09       1.027970489530e-10      -7.026912378378e-14 
   10       1.159657381327e-10       1.557253483199e-15       2.417780051843e-13       0.000000000000e+00       1.056742671367e-09       8.946722630064e-11       5.665225024079e-14 
   11       1.154894684636e-10       1.333187430024e-15       1.981769700823e-13       0.000000000000e+00       8.888134271227e-10       7.885829743269e-11       1.223688932292e-13 
   12       1.154195305645e-10       1.276001442101e-15       1.698138518713e-13       0.000000000000e+00       7.766167970143e-10       6.961628784058e-11       1.410035864722e-13 
   13       1.156855189081e-10       1.189692859632e-15       1.549949352573e-13       0.000000000000e+00       6.845205795828e-10       6.215204071029e-11       1.267531178602e-13 
   14       1.162471424520e-10       1.046281054775e-15       1.509933646315e-13       0.000000000000e+00       6.079075059621e-10       5.577238749058e-11       9.213176129640e-14 
   15       1.170336202316e-10       9.048656534058e-16       1.547342401406e-13       0.000000000000e+00       5.434241178926e-10       5.040833033313e-11       4.920434876418e-14 
   16       1.179773588841e-10       8.259538547200e-16       1.631956024451e-13       0.000000000000e+00       4.886020707102e-10       4.580312542856e-11       7.127410332109e-15 
   17       1.190809215061e-10       8.266936277316e-16       1.737142573354e-13       0.000000000000e+00       4.415772400537e-10       4.179297431287e-11      -2.779901693332e-14 
   18       1.202951189779e-10       8.800960257844e-16       1.843847403673e-13       0.000000000000e+00       4.007639778732e-10       3.831253722186e-11      -5.199676881920e-14 
   19       1.216365951679e-10       9.538834825115e-16       1.942274145080e-13       0.000000000000e+00       3.655164805682e-10       3.529537449603e-11      -6.459892259865e-14 
   20       1.230870742231e-10       1.014958892272e-15       2.024717018572e-13       0.000000000000e+00       3.344732454526e-10       3.258945693466e-11      -6.647475969562e-14 
   21       1.246324083403e-10       1.066474533820e-15       2.091295561528e-13       0.000000000000e+00       3.071463323034e-10       3.014616079029e-11      -5.977882536172e-14 
   22       1.262290937112e-10       1.126642862487e-15       2.145785884706e-13       0.000000000000e+00       2.828822860115e-10       2.791913776849e-11      -4.785464500451e-14 
   23       1.278921028624e-10       1.214523720532e-15       2.192987962346e-13       0.000000000000e+00       2.613474344191e-10       2.591916549289e-11      -3.359145315032e-14 
   24       1.296294695799e-10       1.348237109942e-15       2.238625557897e-13       0.000000000000e+00       2.420436334670e-10       2.414640988441e-11      -2.001635726216e-14 
   25       1.314290809725e-10       1.528100514887e-15       2.286953806697e-13       0.000000000000e+00       2.247437474915e-10       2.256161294538e-11      -8.975329878800e-15 
   26       1.332593847360e-10       1.747144194264e-15       2.341452190758e-13       0.000000000000e+00       2.091345857924e-10       2.110255797378e-11      -1.839458098879e-15 
   27       1.351288440238e-10       1.999014650536e-15       2.402533539167e-13       0.000000000000e+00       1.950288862489e-10       1.977102950041e-11       1.154530303271e-15 
   28       1.370472254688e-10       2.277388716104e-15       2.468911825137e-13       0.000000000000e+00       1.821834418775e-10       1.857706921752e-11       3.559186606483e-16 
   29       1.390216312586e-10       2.581869630097e-15       2.537548038058e-13       0.000000000000e+00       1.705327336592e-10       1.751208007221e-11      -3.401734106767e-15 
   30       1.410443150304e-10       2.913809377943e-15       2.603896137678e-13       0.000000000000e+00       1.599517313577e-10       1.654797327473e-11      -8.833138927302e-15 
   31       1.430967423373e-10       3.273949582781e-15       2.662628127764e-13       0.000000000000e+00       1.502246533717e-10       1.564778027817e-11      -1.444788410187e-14 
   32       1.451844948213e-10       3.660229758354e-15       2.709964385288e-13       0.000000000000e+00       1.413013228069e-10       1.480654721339e-11      -1.941264921491e-14 
   33       1.473127555477e-10       4.069058108573e-15       2.742110271193e-13       0.000000000000e+00       1.331186704428e-10       1.402408373464e-11      -2.298652521421e-14 
   34       1.494788730336e-10       4.497334547182e-15       2.755441588961e-13       0.000000000000e+00       1.255622039240e-10       1.329601234609e-11      -2.449039668778e-14 
   35       1.516825238059e-10       4.947765433507e-15       2.749398956360e-13       0.000000000000e+00       1.185932723385e-10       1.262182242865e-11      -2.400512208455e-14 
   36       1.539172296283e-10       5.425476145896e-15       2.724633079540e-13       0.000000000000e+00       1.121559805469e-10       1.199874728121e-11      -2.192773663477e-14 
   37       1.561724504963e-10       5.935756017826e-15       2.682217925538e-13       0.000000000000e+00       1.061665649687e-10       1.142105173691e-11      -1.876158127200e-14 
   38       1.584534702575e-10       6.480855540771e-15       2.623441094358e-13       0.000000000000e+00       1.006096084977e-10       1.088644937506e-11      -1.498961354017e-14 
   39       1.607668924072e-10       7.062174854545e-15       2.550000068835e-13       0.000000000000e+00       9.546754948608e-11       1.039120145961e-11      -1.117420119270e-14 
   40       1.631146400560e-10       7.681119040144e-15       2.464098096036e-13       0.000000000000e+00       9.069141500637e-11       9.928014744230e-12      -8.000909473505e-15 
   41       1.654953530773e-10       8.338856546568e-15       2.367793682846e-13       0.000000000000e+00       8.621789825128e-11       9.488535729890e-12      -6.104655489834e-15 
   42       1.679103989394e-10       9.035504412118e-15       2.260720272137e-13       0.000000000000e+00       8.203386510495e-11       9.072530868142e-12      -5.461725341633e-15 
   43       1.703589277198e-10       9.770674639921e-15       2.141676146098e-13       0.000000000000e+00       7.812823371671e-11       8.681190080112e-12      -5.812708990759e-15 
   44       1.728357249213e-10       1.054367297359e-14       2.009225984262e-13       0.000000000000e+00       7.447261578805e-11       8.314484726499e-12      -6.822168230398e-15 
   45       1.753341064136e-10       1.135377317508e-14       1.861844202028e-13       0.000000000000e+00       7.103146593224e-11       7.971463476685e-12      -8.128475835714e-15 
   46       1.778565713906e-10       1.220118089628e-14       1.698433991581e-13       0.000000000000e+00       6.779939530465e-11       7.651499509601e-12      -9.522534210553e-15 
   47       1.804066585257e-10       1.308632674243e-14       1.517936078111e-13       0.000000000000e+00       6.477266925799e-11       7.353232744659e-12      -1.081423349961e-14 
   48       1.829857280527e-10       1.400959719078e-14       1.319176027025e-13       0.000000000000e+00       6.193795286097e-11       7.074116117609e-12      -1.178074130844e-14 
   49       1.855927541370e-10       1.497133308750e-14       1.100857332316e-13       0.000000000000e+00       5.927159677802e-11       6.810330994991e-12      -1.216480062822e-14 
   50       1.882257139709e-10       1.597181755792e-14       8.619057207364e-14       0.000000000000e+00       5.674676637171e-11       6.557876382066e-12      -1.175809256165e-14 
   51       1.908866812724e-10       1.701123935568e-14       6.026282765882e-14       0.000000000000e+00       5.435876708196e-11       6.316381331661e-12      -1.068194938727e-14 
   52       1.935777564590e-10       1.808971696696e-14       3.238570010850e-14       0.000000000000e+00       5.210535893405e-11       6.086181159292e-12      -9.179895741870e-15 
   53       1.962994614138e-10       1.920730637375e-14       2.663448361145e-15       0.000000000000e+00       4.997917729150e-11       5.867205443068e-12      -7.541489825344e-15 
   54       1.990506069963e-10       2.036399905260e-14      -2.877764820993e-14       0.000000000000e+00       4.796738782865e-11       5.658948675469e-12      -6.104624374872e-15 
   55       2.018293994807e-10       2.155974376952e-14      -6.181906298649e-14       0.000000000000e+00       4.605560612794e-11       5.460710382290e-12      -5.176217479578e-15 
   56       2.046373852670e-10       2.279452288990e-14      -9.645020594546e-14       0.000000000000e+00       4.424158714486e-11       5.272452566330e-12      -4.765941938547e-15 
