# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 10.5313 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.362767327303e-02       2.617398448775e+04 
       1.375761245026e-02       2.622087546205e+04 
       1.388758804732e-02       2.626597322160e+04 
       1.401760018889e-02       2.630856268676e+04 
       1.414764902261e-02       2.634906869577e+04 
       1.427773471871e-02       2.638734795533e+04 
       1.440785746966e-02       2.642339904622e+04 
       1.453801748994e-02       2.645721115990e+04 
       1.466821501571e-02       2.648899096086e+04 
       1.479845030465e-02       2.651915363773e+04 
       1.492872363574e-02       2.654690029631e+04 
       1.505903530907e-02       2.657255489369e+04 
       1.518938564573e-02       2.659648559638e+04 
       1.531977498770e-02       2.661832656940e+04 
       1.545020369770e-02       2.663817116410e+04 
       1.558067215920e-02       2.665618302509e+04 
       1.571118077633e-02       2.667228981635e+04 
       1.584172997385e-02       2.668635641985e+04 
       1.597232019718e-02       2.669884632198e+04 
       1.610295191240e-02       2.670938629936e+04 
       1.623362560632e-02       2.671812711326e+04 
       1.636434178647e-02       2.672506052983e+04 
       1.649510098126e-02       2.673040778047e+04 
       1.662590374003e-02       2.673407924407e+04 
       1.675675063319e-02       2.673586939905e+04 
       1.688764225234e-02       2.673581819376e+04 
       1.701857921042e-02       2.673443954916e+04 
       1.714956214190e-02       2.673143298284e+04 
       1.728059170295e-02       2.672677503315e+04 
       1.741166857164e-02       2.671986542986e+04 
       1.754279344820e-02       2.671263355743e+04 
       1.767396705519e-02       2.670298402523e+04 
       1.780519013784e-02       2.669202120043e+04 
       1.793646346424e-02       2.667962661340e+04 
       1.806778782570e-02       2.666555416597e+04 
       1.819916403699e-02       2.665012927690e+04 
       1.833059293671e-02       2.663383785950e+04 
       1.846207538763e-02       2.661554314931e+04 
       1.859361227699e-02       2.659627552801e+04 
       1.872520451694e-02       2.657486930896e+04 
       1.885685304489e-02       2.655296442075e+04 
       1.898855882392e-02       2.652856758153e+04 
       1.912032284323e-02       2.650462093617e+04 
       1.925214611854e-02       2.647825840653e+04 
       1.938402969258e-02       2.645048078685e+04 
       1.951597463556e-02       2.642211688431e+04 
       1.964798204565e-02       2.639205805766e+04 
       1.978005304951e-02       2.636118904952e+04 
       1.991218880284e-02       2.632884306870e+04 
       2.004439049087e-02       2.629510755518e+04 
       2.017665932899e-02       2.626005381717e+04 
       2.030899656333e-02       2.622495239893e+04 
       2.044140347134e-02       2.618767956874e+04 
       2.057388136246e-02       2.614941714567e+04 
       2.070643157875e-02       2.611059096980e+04 
       2.083905549556e-02       2.607146666558e+04 
