# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   42       1.276995808215e+03       7.216895159897e-02       0.000000000000e+00       1.721383186883e+00       1.439785735915e-07       1.088488677579e-03      -1.244300036193e-06 
   43       1.295969815770e+03       7.802493674855e-02       0.000000000000e+00       1.618077901134e+00       1.436813531085e-07       1.065391049451e-03      -1.124809698601e-06 
   44       1.315231429758e+03       8.417506122404e-02       0.000000000000e+00       1.501455302225e+00       1.433555724380e-07       1.042926826070e-03      -9.899190430951e-07 
   45       1.334758710281e+03       9.062424160724e-02       0.000000000000e+00       1.371851673623e+00       1.429728388687e-07       1.021156846858e-03      -8.860717492963e-07 
   46       1.354564464795e+03       9.737572845556e-02       0.000000000000e+00       1.229428341172e+00       1.425579323199e-07       1.000244587219e-03      -8.241698359252e-07 
   47       1.374656745618e+03       1.044318701024e-01       0.000000000000e+00       1.074348998254e+00       1.421397457169e-07       9.802861852014e-04      -8.035785299846e-07 
   48       1.395022737999e+03       1.117943848566e-01       0.000000000000e+00       9.068486904522e-01       1.417263962696e-07       9.612263807134e-04      -8.217210211641e-07 
   49       1.415626942405e+03       1.194643327784e-01       0.000000000000e+00       7.272365921575e-01       1.412989132140e-07       9.428328536562e-04      -8.738045783785e-07 
   50       1.436429078214e+03       1.274424756386e-01       0.000000000000e+00       5.357374614618e-01       1.408235650690e-07       9.247985826330e-04      -9.530555832501e-07 
   51       1.457447741041e+03       1.357305374601e-01       0.000000000000e+00       3.319588287173e-01       1.403147501842e-07       9.071642511114e-04      -1.052238142164e-06 
   52       1.478710882450e+03       1.443302373498e-01       0.000000000000e+00       1.152839818550e-01       1.397931612496e-07       8.900187570309e-04      -1.162252937958e-06 
   53       1.500236730226e+03       1.532429215008e-01       0.000000000000e+00      -1.149840530844e-01       1.392659806760e-07       8.733727268250e-04      -1.271426469265e-06 
   54       1.522032898734e+03       1.624695532365e-01       0.000000000000e+00      -3.596273269625e-01       1.387231675662e-07       8.571460061905e-04      -1.365252552141e-06 
   55       1.544100942944e+03       1.720105412076e-01       0.000000000000e+00      -6.193501008062e-01       1.381460809661e-07       8.412236867474e-04      -1.430212582860e-06 
   56       1.566453383425e+03       1.818651968149e-01       0.000000000000e+00      -8.942318354302e-01       1.375486576864e-07       8.256802274391e-04      -1.467563495530e-06 
   57       1.589099352446e+03       1.920321245596e-01       0.000000000000e+00      -1.184146746565e+00       1.369489896561e-07       8.106147762908e-04      -1.484152956742e-06 
